,pnl,book_size,long_count,short_count,turnover,returns,drawdown,margin,fitness,sharpe,start_date,alpha_id,expression,concentrated_weight,high_turnover,is_ladder_sharpe,low_fitness,low_sharpe,low_sub_universe_sharpe,low_turnover
18,2759196,20000000,4155,3870,0.0409,0.0266,0.0424,0.001303,0.86,1.86,2012-01-22,wR0xJeQ,"group = (country+1)*group_max(pv13_10_minvol_1m_sector, market) + pv13_10_minvol_1m_sector;group_neutralize(ts_scale(group_backfill(fnd23_intfvalld1_iscs, industry, 252, std=1), 252), densify(group))",PASS,PASS,FAIL,FAIL,PASS,FAIL,PASS
19,3163001,20000000,3739,3555,0.0467,0.0305,0.0405,0.001309,0.82,1.65,2012-01-22,ZpO3XNQ,"group = (country+1)*group_max(pv13_5l_scibr, market) + pv13_5l_scibr;group_neutralize(ts_scale(group_backfill(fnd23_ebitda, industry, 252, std=1), 252), densify(group))",PASS,PASS,FAIL,FAIL,PASS,PASS,PASS
20,2864375,20000000,3724,3692,0.0459,0.0277,0.042,0.001206,0.81,1.72,2012-01-22,Ew9WzgL,"group = (country+1)*group_max(pv13_5l_scibr, market) + pv13_5l_scibr;group_neutralize(ts_scale(group_backfill(fnd23_intfvmfm2_olto, industry, 252, std=1), 252), densify(group))",PASS,PASS,FAIL,FAIL,PASS,PASS,PASS
21,3127918,20000000,3734,3534,0.0471,0.0302,0.0416,0.001283,0.8,1.62,2012-01-22,m8E3N6E,"group = (country+1)*group_max(pv13_6l_scibr, market) + pv13_6l_scibr;group_neutralize(ts_scale(group_backfill(fnd23_ebitda, industry, 252, std=1), 252), densify(group))",PASS,PASS,FAIL,FAIL,PASS,PASS,PASS
22,2649423,20000000,3489,3680,0.0361,0.0256,0.0462,0.001418,0.77,1.71,2012-01-22,k3z2xnL,"group = (country+1)*group_max(pv13_1l_scibr, market) + pv13_1l_scibr;group_neutralize(ts_scale(group_backfill(fnd23_cash_n_equivalents, industry, 252, std=1), 252), densify(group))",PASS,PASS,FAIL,FAIL,PASS,PASS,PASS
23,2783104,20000000,3754,3741,0.0462,0.0269,0.0239,0.001163,0.76,1.63,2012-01-22,GwZAQ9J,"group = (country+1)*group_max(pv13_5l_scibr, market) + pv13_5l_scibr;group_neutralize(ts_scale(group_backfill(fnd23_aor, industry, 252, std=1), 252), densify(group))",PASS,PASS,FAIL,FAIL,PASS,PASS,PASS
24,2507696,20000000,3820,3831,0.0442,0.0242,0.0442,0.001095,0.75,1.71,2012-01-22,273zb1x,"group = (country+1)*group_max(pv13_20_minvol_1m_sector, market) + pv13_20_minvol_1m_sector;group_neutralize(ts_scale(group_backfill(fnd23_cash_n_equivalents, industry, 252, std=1), 252), densify(group))",PASS,PASS,FAIL,FAIL,PASS,FAIL,PASS
25,2647610,20000000,3766,3627,0.0461,0.0256,0.0465,0.001108,0.72,1.58,2012-01-22,VpAj9rb,"group = (country+1)*group_max(pv13_6l_scibr, market) + pv13_6l_scibr;group_neutralize(ts_scale(group_backfill(fnd23_intfvmfm2_olto, industry, 252, std=1), 252), densify(group))",PASS,PASS,FAIL,FAIL,PASS,PASS,PASS
26,2834924,20000000,3711,3875,0.0399,0.0274,0.04,0.001372,0.71,1.52,2012-01-22,VpAjZLJ,"group = (country+1)*group_max(pv13_1l_scibr, market) + pv13_1l_scibr;group_neutralize(ts_scale(group_backfill(fnd23_roe, industry, 252, std=1), 252), densify(group))",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
27,2708672,20000000,3683,3796,0.0466,0.0262,0.0301,0.001122,0.71,1.56,2012-01-22,2730xmx,"group = (country+1)*group_max(pv13_6l_scibr, market) + pv13_6l_scibr;group_neutralize(ts_scale(group_backfill(fnd23_aor, industry, 252, std=1), 252), densify(group))",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
28,2536446,20000000,4081,3525,0.0313,0.0245,0.0533,0.001564,0.7,1.57,2012-01-22,NpYmwYo,"group = (country+1)*group_max(pv13_20_minvol_1m_sector, market) + pv13_20_minvol_1m_sector;group_neutralize(ts_scale(group_backfill(fnd23_annfvmfm2_olto, industry, 252, std=1), 252), densify(group))",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
29,2347064,20000000,3831,3817,0.0448,0.0227,0.0527,0.001013,0.67,1.58,2012-01-22,OplP5pY,"group = (country+1)*group_max(pv13_10_minvol_1m_sector, market) + pv13_10_minvol_1m_sector;group_neutralize(ts_scale(group_backfill(fnd23_cash_n_equivalents, industry, 252, std=1), 252), densify(group))",PASS,PASS,FAIL,FAIL,PASS,PASS,PASS
30,2450748,20000000,3726,3765,0.047,0.0237,0.0232,0.001007,0.66,1.51,2012-01-22,ngLR75d,"group = (country+1)*group_max(pv13_5l_scibr, market) + pv13_5l_scibr;group_neutralize(ts_scale(group_backfill(fnd23_roe, industry, 252, std=1), 252), densify(group))",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
31,2381727,20000000,3662,3818,0.0475,0.023,0.0231,0.000969,0.62,1.45,2012-01-22,5wPb1Yz,"group = (country+1)*group_max(pv13_6l_scibr, market) + pv13_6l_scibr;group_neutralize(ts_scale(group_backfill(fnd23_roe, industry, 252, std=1), 252), densify(group))",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
32,2367887,20000000,3873,3255,0.0243,0.0229,0.0768,0.001882,0.58,1.36,2012-01-22,ngLRqnq,"group = (country+1)*group_max(pv13_1l_scibr, market) + pv13_1l_scibr;group_neutralize(ts_scale(group_backfill(fnd23_annfvmfm2_olto, industry, 252, std=1), 252), densify(group))",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
33,2184285,20000000,3837,3544,0.0388,0.0211,0.0451,0.001088,0.54,1.32,2012-01-22,9wNv32K,"group = (country+1)*group_max(pv13_6l_scibr, market) + pv13_6l_scibr;group_neutralize(ts_scale(group_backfill(fnd23_intfvalld1_iscs, industry, 252, std=1), 252), densify(group))",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
34,1991488,20000000,4078,3524,0.0316,0.0192,0.0555,0.001219,0.48,1.23,2012-01-22,Jp6EgjO,"group = (country+1)*group_max(pv13_10_minvol_1m_sector, market) + pv13_10_minvol_1m_sector;group_neutralize(ts_scale(group_backfill(fnd23_annfvmfm2_olto, industry, 252, std=1), 252), densify(group))",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
35,2003956,20000000,3579,3407,0.0425,0.0194,0.0315,0.000911,0.47,1.2,2012-01-22,PpkWbgp,"group = (country+1)*group_max(pv13_6l_scibr, market) + pv13_6l_scibr;group_neutralize(ts_scale(group_backfill(fnd23_cash_n_equivalents, industry, 252, std=1), 252), densify(group))",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
36,1973662,20000000,3841,3560,0.0383,0.0191,0.0562,0.000995,0.47,1.21,2012-01-22,g1nOjlM,"group = (country+1)*group_max(pv13_5l_scibr, market) + pv13_5l_scibr;group_neutralize(ts_scale(group_backfill(fnd23_intfvalld1_iscs, industry, 252, std=1), 252), densify(group))",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
37,1890034,20000000,3535,3477,0.042,0.0183,0.0479,0.000868,0.44,1.15,2012-01-22,17rbGPX,"group = (country+1)*group_max(pv13_5l_scibr, market) + pv13_5l_scibr;group_neutralize(ts_scale(group_backfill(fnd23_cash_n_equivalents, industry, 252, std=1), 252), densify(group))",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
38,1845199,20000000,4068,2851,0.0286,0.0178,0.0382,0.001246,0.43,1.13,2012-01-22,0713Rqv,"group = (country+1)*group_max(pv13_5l_scibr, market) + pv13_5l_scibr;group_neutralize(ts_scale(group_backfill(fnd23_annfvmfm2_olto, industry, 252, std=1), 252), densify(group))",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
39,1810470,20000000,4156,2727,0.0289,0.0175,0.039,0.001212,0.4,1.08,2012-01-22,bLekmpq,"group = (country+1)*group_max(pv13_6l_scibr, market) + pv13_6l_scibr;group_neutralize(ts_scale(group_backfill(fnd23_annfvmfm2_olto, industry, 252, std=1), 252), densify(group))",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
40,1939768,20000000,4767,3239,0.0369,0.0187,0.0773,0.001015,0.35,0.9,2012-01-22,m8ERpqp,"group = (country+1)*group_max(pv13_20_minvol_1m_sector, market) + pv13_20_minvol_1m_sector;group_neutralize(ts_scale(group_backfill(fnd23_tot_assets, industry, 252, std=1), 252), densify(group))",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
41,1839119,20000000,4739,3261,0.0371,0.0178,0.0816,0.000958,0.32,0.86,2012-01-22,z9l6PqE,"group = (country+1)*group_max(pv13_10_minvol_1m_sector, market) + pv13_10_minvol_1m_sector;group_neutralize(ts_scale(group_backfill(fnd23_tot_assets, industry, 252, std=1), 252), densify(group))",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
42,1126063,20000000,3464,3694,0.0261,0.0109,0.0187,0.000832,0.28,0.96,2012-01-22,Qawkznr,"group = (country+1)*group_max(pv13_1l_scibr, market) + pv13_1l_scibr;group_neutralize(ts_scale(group_backfill(fnd23_annfvmfm2_fcos, industry, 252, std=1), 252), densify(group))",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
43,1469164,20000000,4712,2801,0.0293,0.0142,0.1005,0.000968,0.2,0.59,2012-01-22,GwZAX7O,"group = (country+1)*group_max(pv13_1l_scibr, market) + pv13_1l_scibr;group_neutralize(ts_scale(group_backfill(fnd23_tot_assets, industry, 252, std=1), 252), densify(group))",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
44,1236167,20000000,4140,3207,0.0352,0.0119,0.0647,0.000679,0.18,0.58,2012-01-22,Lp0jvem,"group = (country+1)*group_max(pv13_6l_scibr, market) + pv13_6l_scibr;group_neutralize(ts_scale(group_backfill(fnd23_tot_assets, industry, 252, std=1), 252), densify(group))",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
45,1108279,20000000,4095,3269,0.0347,0.0107,0.0682,0.000617,0.16,0.53,2012-01-22,Lp0a9Wm,"group = (country+1)*group_max(pv13_5l_scibr, market) + pv13_5l_scibr;group_neutralize(ts_scale(group_backfill(fnd23_tot_assets, industry, 252, std=1), 252), densify(group))",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
46,747236,20000000,3848,3788,0.0332,0.0072,0.0242,0.000434,0.14,0.6,2012-01-22,7webAp1,"group = (country+1)*group_max(pv13_20_minvol_1m_sector, market) + pv13_20_minvol_1m_sector;group_neutralize(ts_scale(group_backfill(fnd23_annfvmfm2_fcos, industry, 252, std=1), 252), densify(group))",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
47,671490,20000000,3899,3731,0.0334,0.0065,0.025,0.000388,0.12,0.53,2012-01-22,jZqRd5W,"group = (country+1)*group_max(pv13_10_minvol_1m_sector, market) + pv13_10_minvol_1m_sector;group_neutralize(ts_scale(group_backfill(fnd23_annfvmfm2_fcos, industry, 252, std=1), 252), densify(group))",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
48,399319,20000000,3825,3133,0.0309,0.0039,0.0264,0.000249,0.05,0.27,2012-01-22,NpYwdMq,"group = (country+1)*group_max(pv13_6l_scibr, market) + pv13_6l_scibr;group_neutralize(ts_scale(group_backfill(fnd23_annfvmfm2_fcos, industry, 252, std=1), 252), densify(group))",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
49,332570,20000000,3702,3276,0.0307,0.0032,0.0305,0.000209,0.04,0.23,2012-01-22,m8ERgw6,"group = (country+1)*group_max(pv13_5l_scibr, market) + pv13_5l_scibr;group_neutralize(ts_scale(group_backfill(fnd23_annfvmfm2_fcos, industry, 252, std=1), 252), densify(group))",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
