,pnl,book_size,long_count,short_count,turnover,returns,drawdown,margin,fitness,sharpe,start_date,alpha_id,expression,concentrated_weight,high_turnover,is_ladder_sharpe,low_fitness,low_sharpe,low_sub_universe_sharpe,low_turnover
0,4142182,20000000,4013,3967,0.0469,0.04,0.0361,0.001704,1.28,2.26,2012-01-22,ZpO36rQ,"group = (country+1)*group_max(pv13_20_minvol_1m_sector, market) + pv13_20_minvol_1m_sector;group_neutralize(ts_scale(group_backfill(fnd23_net_income, industry, 252, std=1), 252), densify(group))",PASS,PASS,PASS,PASS,PASS,PASS,PASS
1,4122365,20000000,3988,3989,0.0474,0.0398,0.0362,0.001679,1.25,2.21,2012-01-22,g1nOo3K,"group = (country+1)*group_max(pv13_10_minvol_1m_sector, market) + pv13_10_minvol_1m_sector;group_neutralize(ts_scale(group_backfill(fnd23_net_income, industry, 252, std=1), 252), densify(group))",PASS,PASS,FAIL,PASS,PASS,PASS,PASS
2,4350382,20000000,4019,3911,0.0481,0.042,0.0612,0.001745,1.24,2.14,2012-01-22,ZpO3lOd,"group = (country+1)*group_max(pv13_20_minvol_1m_sector, market) + pv13_20_minvol_1m_sector;group_neutralize(ts_scale(group_backfill(fnd23_ebitda, industry, 252, std=1), 252), densify(group))",PASS,PASS,FAIL,PASS,PASS,PASS,PASS
3,4631670,20000000,3825,3617,0.0374,0.0447,0.069,0.002389,1.2,2.01,2012-01-22,9wN15bq,"group = (country+1)*group_max(pv13_1l_scibr, market) + pv13_1l_scibr;group_neutralize(ts_scale(group_backfill(fnd23_ebitda, industry, 252, std=1), 252), densify(group))",PASS,PASS,FAIL,PASS,PASS,PASS,PASS
4,4333680,20000000,3758,3722,0.0375,0.0418,0.0601,0.002233,1.17,2.03,2012-01-22,p69rxkj,"group = (country+1)*group_max(pv13_1l_scibr, market) + pv13_1l_scibr;group_neutralize(ts_scale(group_backfill(fnd23_net_income, industry, 252, std=1), 252), densify(group))",PASS,PASS,FAIL,PASS,PASS,PASS,PASS
5,4074932,20000000,4029,3898,0.0486,0.0393,0.0559,0.001618,1.15,2.05,2012-01-22,WpvQAeG,"group = (country+1)*group_max(pv13_10_minvol_1m_sector, market) + pv13_10_minvol_1m_sector;group_neutralize(ts_scale(group_backfill(fnd23_ebitda, industry, 252, std=1), 252), densify(group))",PASS,PASS,FAIL,PASS,PASS,PASS,PASS
6,3493294,20000000,3936,4085,0.0485,0.0337,0.0726,0.00139,1.03,1.98,2012-01-22,WpvQXvZ,"group = (country+1)*group_max(pv13_20_minvol_1m_sector, market) + pv13_20_minvol_1m_sector;group_neutralize(ts_scale(group_backfill(fnd23_intfvmfm2_olto, industry, 252, std=1), 252), densify(group))",PASS,PASS,FAIL,PASS,PASS,PASS,PASS
7,3178647,20000000,3854,3679,0.0319,0.0307,0.0271,0.001926,1.02,2.06,2012-01-22,dxNA2EY,"group = (country+1)*group_max(pv13_1l_scibr, market) + pv13_1l_scibr;group_neutralize(ts_scale(group_backfill(fnd23_intfvalld1_iscs, industry, 252, std=1), 252), densify(group))",PASS,PASS,FAIL,PASS,PASS,PASS,PASS
8,3246982,20000000,3994,4098,0.0483,0.0314,0.0219,0.001297,1.01,2.01,2012-01-22,AwoZM1Y,"group = (country+1)*group_max(pv13_20_minvol_1m_sector, market) + pv13_20_minvol_1m_sector;group_neutralize(ts_scale(group_backfill(fnd23_aor, industry, 252, std=1), 252), densify(group))",PASS,PASS,FAIL,PASS,PASS,PASS,PASS
9,3950050,20000000,3633,3891,0.0411,0.0381,0.0911,0.001855,1.01,1.83,2012-01-22,ZpO3Vqj,"group = (country+1)*group_max(pv13_1l_scibr, market) + pv13_1l_scibr;group_neutralize(ts_scale(group_backfill(fnd23_intfvmfm2_olto, industry, 252, std=1), 252), densify(group))",PASS,PASS,FAIL,PASS,PASS,PASS,PASS
10,3274107,20000000,3980,4107,0.0488,0.0316,0.0227,0.001296,1.0,1.99,2012-01-22,7webzN5,"group = (country+1)*group_max(pv13_10_minvol_1m_sector, market) + pv13_10_minvol_1m_sector;group_neutralize(ts_scale(group_backfill(fnd23_aor, industry, 252, std=1), 252), densify(group))",PASS,PASS,FAIL,PASS,PASS,PASS,PASS
11,3023163,20000000,4118,3907,0.0405,0.0292,0.0336,0.001443,0.99,2.04,2012-01-22,KbWdjKk,"group = (country+1)*group_max(pv13_20_minvol_1m_sector, market) + pv13_20_minvol_1m_sector;group_neutralize(ts_scale(group_backfill(fnd23_intfvalld1_iscs, industry, 252, std=1), 252), densify(group))",PASS,PASS,FAIL,FAIL,PASS,FAIL,PASS
12,3406822,20000000,3936,4079,0.0485,0.0329,0.0729,0.001356,0.98,1.91,2012-01-22,ad5Z1x9,"group = (country+1)*group_max(pv13_10_minvol_1m_sector, market) + pv13_10_minvol_1m_sector;group_neutralize(ts_scale(group_backfill(fnd23_intfvmfm2_olto, industry, 252, std=1), 252), densify(group))",PASS,PASS,FAIL,FAIL,PASS,PASS,PASS
13,3401673,20000000,3724,3862,0.039,0.0328,0.0392,0.001685,0.92,1.79,2012-01-22,Lp0APkL,"group = (country+1)*group_max(pv13_1l_scibr, market) + pv13_1l_scibr;group_neutralize(ts_scale(group_backfill(fnd23_aor, industry, 252, std=1), 252), densify(group))",PASS,PASS,FAIL,FAIL,PASS,PASS,PASS
14,3210686,20000000,3800,3571,0.0448,0.031,0.0338,0.001383,0.91,1.82,2012-01-22,OplP7L1,"group = (country+1)*group_max(pv13_5l_scibr, market) + pv13_5l_scibr;group_neutralize(ts_scale(group_backfill(fnd23_net_income, industry, 252, std=1), 252), densify(group))",PASS,PASS,FAIL,FAIL,PASS,PASS,PASS
15,2931831,20000000,3987,4105,0.0497,0.0283,0.0245,0.00114,0.88,1.84,2012-01-22,RpGQMN1,"group = (country+1)*group_max(pv13_20_minvol_1m_sector, market) + pv13_20_minvol_1m_sector;group_neutralize(ts_scale(group_backfill(fnd23_roe, industry, 252, std=1), 252), densify(group))",PASS,PASS,FAIL,FAIL,PASS,PASS,PASS
16,3143649,20000000,3705,3651,0.0452,0.0304,0.0315,0.001342,0.87,1.76,2012-01-22,bLekgAm,"group = (country+1)*group_max(pv13_6l_scibr, market) + pv13_6l_scibr;group_neutralize(ts_scale(group_backfill(fnd23_net_income, industry, 252, std=1), 252), densify(group))",PASS,PASS,FAIL,FAIL,PASS,PASS,PASS
17,2951310,20000000,3969,4122,0.0502,0.0285,0.0255,0.001136,0.87,1.82,2012-01-22,AwoZgjd,"group = (country+1)*group_max(pv13_10_minvol_1m_sector, market) + pv13_10_minvol_1m_sector;group_neutralize(ts_scale(group_backfill(fnd23_roe, industry, 252, std=1), 252), densify(group))",PASS,PASS,FAIL,FAIL,PASS,PASS,PASS
