,pnl,book_size,long_count,short_count,turnover,returns,drawdown,margin,fitness,sharpe,start_date,alpha_id,expression,concentrated_weight,high_turnover,is_ladder_sharpe,low_fitness,low_sharpe,low_sub_universe_sharpe,low_turnover
0,5312939,20000000,4041,4022,0.0319,0.0513,0.0751,0.00322,1.26,1.96,2012-01-22,AwopJ9d,"group = (country+1)*group_max(pv13_52_minvol_1m_all_delay_1_sector, market) + pv13_52_minvol_1m_all_delay_1_sector;group_neutralize(ts_scale(group_backfill(fnd23_intfvalld1_caiv, industry, 252, std=1), 252), densify(group))",PASS,PASS,FAIL,PASS,PASS,PASS,PASS
1,5281117,20000000,4062,3999,0.0313,0.051,0.0704,0.003263,1.26,1.98,2012-01-22,xxJLwqb,"group = (country+1)*group_max(pv13_52_minvol_1m_all_delay_1_sector, market) + pv13_52_minvol_1m_all_delay_1_sector;group_neutralize(ts_scale(group_backfill(fnd23_intfvmfm2_inds, industry, 252, std=1), 252), densify(group))",PASS,PASS,FAIL,PASS,PASS,PASS,PASS
2,5508931,20000000,4056,4001,0.03,0.0532,0.0827,0.003548,1.22,1.87,2012-01-22,273gaOP,"group = (country+1)*group_max(pv13_52_minvol_1m_all_delay_1_sector, market) + pv13_52_minvol_1m_all_delay_1_sector;group_neutralize(ts_scale(group_backfill(fnd23_intfvmfm2_tibs, industry, 252, std=1), 252), densify(group))",PASS,PASS,FAIL,PASS,PASS,PASS,PASS
3,3622137,20000000,4074,3938,0.0266,0.035,0.026,0.002626,1.21,2.29,2012-01-22,EwjlvM9,"
group = (country+1)*group_max(pv13_52_minvol_1m_all_delay_1_sector, market) + pv13_52_minvol_1m_all_delay_1_sector;
group_neutralize(ts_scale(group_backfill(fnd23_intfvalld1_ecns, industry, 252, std=1), 252), densify(group))
",PASS,PASS,PASS,PASS,PASS,PASS,PASS
4,3622137,20000000,4074,3938,0.0266,0.035,0.026,0.002626,1.21,2.29,2012-01-22,5wPmal1,"group = (country+1)*group_max(pv13_52_minvol_1m_all_delay_1_sector, market) + pv13_52_minvol_1m_all_delay_1_sector;group_neutralize(ts_scale(group_backfill(fnd23_intfvmalld1_ecns, industry, 252, std=1), 252), densify(group))",PASS,PASS,PASS,PASS,PASS,PASS,PASS
5,3927314,20000000,4093,3952,0.027,0.0379,0.0301,0.002806,1.18,2.14,2012-01-22,lVoYwWl,"group = (country+1)*group_max(pv13_52_minvol_1m_all_delay_1_sector, market) + pv13_52_minvol_1m_all_delay_1_sector;group_neutralize(ts_scale(group_backfill(fnd23_intfvalld1_iscs, industry, 252, std=1), 252), densify(group))",PASS,PASS,PASS,PASS,PASS,PASS,PASS
6,3927314,20000000,4093,3952,0.027,0.0379,0.0301,0.002806,1.18,2.14,2012-01-22,273o2J5,"group = (country+1)*group_max(pv13_52_minvol_1m_all_delay_1_sector, market) + pv13_52_minvol_1m_all_delay_1_sector;group_neutralize(ts_scale(group_backfill(fnd23_intfvmalld1_iscs, industry, 252, std=1), 252), densify(group))",PASS,PASS,PASS,PASS,PASS,PASS,PASS
7,4737371,20000000,4043,4024,0.0323,0.0457,0.0697,0.002835,1.17,1.93,2012-01-22,7weRK9O,"group = (country+1)*group_max(pv13_52_minvol_1m_all_delay_1_sector, market) + pv13_52_minvol_1m_all_delay_1_sector;group_neutralize(ts_scale(group_backfill(fnd23_intfvmalld1_sedv, industry, 252, std=1), 252), densify(group))",PASS,PASS,FAIL,PASS,PASS,PASS,PASS
8,4744306,20000000,4037,4031,0.0322,0.0458,0.07,0.002844,1.17,1.93,2012-01-22,RpGOnO1,"group = (country+1)*group_max(pv13_52_minvol_1m_all_delay_1_sector, market) + pv13_52_minvol_1m_all_delay_1_sector;group_neutralize(ts_scale(group_backfill(fnd23_intfvalld1_sebv, industry, 252, std=1), 252), densify(group))",PASS,PASS,FAIL,PASS,PASS,PASS,PASS
9,5065832,20000000,4046,4016,0.0317,0.0489,0.0704,0.00309,1.14,1.83,2012-01-22,AwopnAe,"group = (country+1)*group_max(pv13_52_minvol_1m_all_delay_1_sector, market) + pv13_52_minvol_1m_all_delay_1_sector;group_neutralize(ts_scale(group_backfill(fnd23_intfvalld1_tbie, industry, 252, std=1), 252), densify(group))",PASS,PASS,FAIL,PASS,PASS,PASS,PASS
10,4911060,20000000,4062,3999,0.0313,0.0474,0.0715,0.003034,1.13,1.84,2012-01-22,8zM0OMo,"group = (country+1)*group_max(pv13_52_minvol_1m_all_delay_1_sector, market) + pv13_52_minvol_1m_all_delay_1_sector;group_neutralize(ts_scale(group_backfill(fnd23_intfvmalld1_inds, industry, 252, std=1), 252), densify(group))",PASS,PASS,FAIL,PASS,PASS,PASS,PASS
11,3730938,20000000,3753,4068,0.0303,0.036,0.0433,0.002377,1.11,2.06,2012-01-22,378v2AZ,"group = (country+1)*group_max(pv13_52_minvol_1m_all_delay_1_sector, market) + pv13_52_minvol_1m_all_delay_1_sector;group_neutralize(ts_scale(group_backfill(fnd23_intfvalld1_eaca, industry, 252, std=1), 252), densify(group))",PASS,PASS,PASS,PASS,PASS,PASS,PASS
12,4894503,20000000,4060,4004,0.0315,0.0473,0.0706,0.003002,1.1,1.79,2012-01-22,Jp6J3al,"group = (country+1)*group_max(pv13_52_minvol_1m_all_delay_1_sector, market) + pv13_52_minvol_1m_all_delay_1_sector;group_neutralize(ts_scale(group_backfill(fnd23_intfvmalld1_xbin, industry, 252, std=1), 252), densify(group))",PASS,PASS,FAIL,PASS,PASS,PASS,PASS
13,5172204,20000000,4004,3953,0.0299,0.0499,0.089,0.003344,1.09,1.72,2012-01-22,VpAbYqJ,"group = (country+1)*group_max(pv13_52_minvol_1m_all_delay_1_sector, market) + pv13_52_minvol_1m_all_delay_1_sector;group_neutralize(ts_scale(group_backfill(fnd23_ebit, industry, 252, std=1), 252), densify(group))",PASS,PASS,FAIL,PASS,PASS,PASS,PASS
14,4952123,20000000,4071,3881,0.0311,0.0478,0.0934,0.003072,1.08,1.75,2012-01-22,273xVN5,"group = (country+1)*group_max(pv13_52_minvol_1m_all_delay_1_sector, market) + pv13_52_minvol_1m_all_delay_1_sector;group_neutralize(ts_scale(group_backfill(fnd23_ebitda, industry, 252, std=1), 252), densify(group))",PASS,PASS,FAIL,PASS,PASS,PASS,PASS
15,4759756,20000000,3995,4000,0.0314,0.046,0.0691,0.002931,1.07,1.77,2012-01-22,WpvRrAd,"group = (country+1)*group_max(pv13_52_minvol_1m_all_delay_1_sector, market) + pv13_52_minvol_1m_all_delay_1_sector;group_neutralize(ts_scale(group_backfill(fnd23_net_income, industry, 252, std=1), 252), densify(group))",PASS,PASS,FAIL,PASS,PASS,PASS,PASS
16,3528193,20000000,3966,3910,0.0324,0.0341,0.038,0.002106,1.04,2.0,2012-01-22,xxJLwOm,"group = (country+1)*group_max(pv13_52_minvol_1m_all_delay_1_sector, market) + pv13_52_minvol_1m_all_delay_1_sector;group_neutralize(ts_scale(group_backfill(fnd23_intfvalld1_lcos, industry, 252, std=1), 252), densify(group))",PASS,PASS,PASS,PASS,PASS,FAIL,PASS
17,4715117,20000000,3857,4180,0.0358,0.0455,0.1197,0.002547,1.03,1.7,2012-01-22,g1nVEmK,"group = (country+1)*group_max(pv13_52_minvol_1m_all_delay_1_sector, market) + pv13_52_minvol_1m_all_delay_1_sector;group_neutralize(ts_scale(group_backfill(fnd23_intfvmfm2_olto, industry, 252, std=1), 252), densify(group))",PASS,PASS,FAIL,PASS,PASS,PASS,PASS
18,4715117,20000000,3857,4180,0.0358,0.0455,0.1197,0.002547,1.03,1.7,2012-01-22,OplXY6b,"group = (country+1)*group_max(pv13_52_minvol_1m_all_delay_1_sector, market) + pv13_52_minvol_1m_all_delay_1_sector;group_neutralize(ts_scale(group_backfill(fnd23_intfvmfm_olto, industry, 252, std=1), 252), densify(group))",PASS,PASS,FAIL,PASS,PASS,PASS,PASS
19,4810050,20000000,4051,4002,0.0304,0.0464,0.0785,0.003055,1.01,1.65,2012-01-22,qAQJ52j,"group = (country+1)*group_max(pv13_52_minvol_1m_all_delay_1_sector, market) + pv13_52_minvol_1m_all_delay_1_sector;group_neutralize(ts_scale(group_backfill(fnd23_intfvmalld1_ipos, industry, 252, std=1), 252), densify(group))",PASS,PASS,FAIL,PASS,PASS,PASS,PASS
20,4358282,20000000,4059,4009,0.0319,0.0421,0.0708,0.002636,1.01,1.74,2012-01-22,Ew9jG3r,"group = (country+1)*group_max(pv13_52_minvol_1m_all_delay_1_sector, market) + pv13_52_minvol_1m_all_delay_1_sector;group_neutralize(ts_scale(group_backfill(fnd23_intfvalld1_iads, industry, 252, std=1), 252), densify(group))",PASS,PASS,FAIL,PASS,PASS,PASS,PASS
21,4810050,20000000,4051,4002,0.0304,0.0464,0.0785,0.003055,1.01,1.65,2012-01-22,vLWELv3,"group = (country+1)*group_max(pv13_52_minvol_1m_all_delay_1_sector, market) + pv13_52_minvol_1m_all_delay_1_sector;group_neutralize(ts_scale(group_backfill(fnd23_intfvalld1_ipos, industry, 252, std=1), 252), densify(group))",PASS,PASS,FAIL,PASS,PASS,PASS,PASS
