,pnl,book_size,long_count,short_count,turnover,returns,drawdown,margin,fitness,sharpe,start_date,alpha_id,expression,concentrated_weight,high_turnover,is_ladder_sharpe,low_fitness,low_sharpe,low_sub_universe_sharpe,low_turnover
10,10001488,20000000,3361,3303,0.1394,0.0966,0.1013,0.001385,1.57,1.88,2012-01-22,5Obnz1n,"s1 = ts_zscore (ts_backfill (vec_avg(mdl139_score), 252), 252);s2 = ts_zscore (ts_backfill (vec_avg(oth193_wolfe_shield_global_mktcap), 252), 252);group = pv13_1l_scibr;group_zscore(s1+s2, group)",PASS,PASS,FAIL,PASS,PASS,PASS,PASS
11,8237887,20000000,3519,3457,0.1483,0.0795,0.0686,0.001073,1.48,2.02,2012-01-22,bqkGL86,"s1 = ts_zscore (ts_backfill (vec_avg(mdl139_score), 252), 252);s2 = ts_zscore (ts_backfill (vec_avg(oth193_wolfe_shield_global_mktcap), 252), 252);group = pv13_20_minvol_1m_sector;group_zscore(s1+s2, group)",PASS,PASS,FAIL,PASS,PASS,PASS,PASS
12,7769358,20000000,3518,3461,0.1505,0.075,0.0652,0.000997,1.41,2.0,2012-01-22,P3WQ2AJ,"s1 = ts_zscore (ts_backfill (vec_avg(mdl139_score), 252), 252);s2 = ts_zscore (ts_backfill (vec_avg(oth193_wolfe_shield_global_mktcap), 252), 252);group = pv13_10_minvol_1m_sector;group_zscore(s1+s2, group)",PASS,PASS,FAIL,PASS,PASS,PASS,PASS
13,7102245,20000000,3249,3202,0.1495,0.0686,0.0558,0.000917,1.35,2.0,2012-01-22,APWjN2l,"s1 = ts_zscore (ts_backfill (vec_avg(mdl139_score), 252), 252);s2 = ts_zscore (ts_backfill (vec_avg(oth193_wolfe_shield_global_mktcap), 252), 252);group = pv13_5l_scibr;group_zscore(s1+s2, group)",PASS,PASS,FAIL,PASS,PASS,PASS,PASS
14,6849943,20000000,3191,3144,0.1501,0.0661,0.0529,0.000881,1.33,2.0,2012-01-22,e0pkO6d,"s1 = ts_zscore (ts_backfill (vec_avg(mdl139_score), 252), 252);s2 = ts_zscore (ts_backfill (vec_avg(oth193_wolfe_shield_global_mktcap), 252), 252);group = pv13_6l_scibr;group_zscore(s1+s2, group)",PASS,PASS,FAIL,PASS,PASS,PASS,PASS
15,7967614,20000000,3330,3336,0.1491,0.0769,0.1094,0.001032,1.1,1.53,2012-01-22,xk6OzMp,"s1 = ts_zscore (ts_backfill (vec_avg(mdl139_mktcap), 252), 252);s2 = ts_zscore (ts_backfill (vec_avg(oth193_shield2), 252), 252);group = pv13_1l_scibr;group_zscore(s1+s2, group)",PASS,PASS,FAIL,PASS,FAIL,PASS,PASS
16,7844751,20000000,3333,3331,0.1486,0.0758,0.1148,0.001019,1.05,1.47,2012-01-22,XnrmErX,"s1 = ts_zscore (ts_backfill (vec_avg(mdl139_mktcap), 252), 252);s2 = ts_zscore (ts_backfill (vec_avg(oth193_shield), 252), 252);group = pv13_1l_scibr;group_zscore(s1+s2, group)",PASS,PASS,FAIL,PASS,FAIL,PASS,PASS
17,6332711,20000000,3491,3487,0.1569,0.0612,0.0841,0.000779,1.0,1.6,2012-01-22,Zn5PZ8Q,"s1 = ts_zscore (ts_backfill (vec_avg(mdl139_mktcap), 252), 252);s2 = ts_zscore (ts_backfill (vec_avg(oth193_shield2), 252), 252);group = pv13_20_minvol_1m_sector;group_zscore(s1+s2, group)",PASS,PASS,FAIL,PASS,PASS,PASS,PASS
18,6132163,20000000,3493,3485,0.1571,0.0592,0.0888,0.000754,0.93,1.51,2012-01-22,QVJZLxG,"s1 = ts_zscore (ts_backfill (vec_avg(mdl139_mktcap), 252), 252);s2 = ts_zscore (ts_backfill (vec_avg(oth193_shield), 252), 252);group = pv13_20_minvol_1m_sector;group_zscore(s1+s2, group)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
19,5892650,20000000,3492,3486,0.1591,0.0569,0.08,0.000715,0.93,1.56,2012-01-22,2L08EYP,"s1 = ts_zscore (ts_backfill (vec_avg(mdl139_mktcap), 252), 252);s2 = ts_zscore (ts_backfill (vec_avg(oth193_shield2), 252), 252);group = pv13_10_minvol_1m_sector;group_zscore(s1+s2, group)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
20,5690289,20000000,3493,3484,0.1592,0.0549,0.0845,0.00069,0.86,1.47,2012-01-22,0ElO0Jq,"s1 = ts_zscore (ts_backfill (vec_avg(mdl139_mktcap), 252), 252);s2 = ts_zscore (ts_backfill (vec_avg(oth193_shield), 252), 252);group = pv13_10_minvol_1m_sector;group_zscore(s1+s2, group)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
21,4909882,20000000,3174,3163,0.1589,0.0474,0.0672,0.000597,0.82,1.5,2012-01-22,0ElOW3q,"s1 = ts_zscore (ts_backfill (vec_avg(mdl139_mktcap), 252), 252);s2 = ts_zscore (ts_backfill (vec_avg(oth193_shield2), 252), 252);group = pv13_6l_scibr;group_zscore(s1+s2, group)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
22,4956407,20000000,3229,3222,0.1586,0.0479,0.0694,0.000604,0.8,1.46,2012-01-22,gMAkv2g,"s1 = ts_zscore (ts_backfill (vec_avg(mdl139_mktcap), 252), 252);s2 = ts_zscore (ts_backfill (vec_avg(oth193_shield2), 252), 252);group = pv13_5l_scibr;group_zscore(s1+s2, group)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
23,4771174,20000000,3174,3162,0.1587,0.0461,0.0704,0.000581,0.77,1.43,2012-01-22,698mv6G,"s1 = ts_zscore (ts_backfill (vec_avg(mdl139_mktcap), 252), 252);s2 = ts_zscore (ts_backfill (vec_avg(oth193_shield), 252), 252);group = pv13_6l_scibr;group_zscore(s1+s2, group)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
24,4843658,20000000,3231,3222,0.1584,0.0468,0.0726,0.000591,0.76,1.39,2012-01-22,R83jLMe,"s1 = ts_zscore (ts_backfill (vec_avg(mdl139_mktcap), 252), 252);s2 = ts_zscore (ts_backfill (vec_avg(oth193_shield), 252), 252);group = pv13_5l_scibr;group_zscore(s1+s2, group)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
25,4795183,20000000,3365,3300,0.095,0.0463,0.1743,0.000975,0.41,0.67,2012-01-22,ql19dzK,"s1 = ts_zscore (ts_backfill (vec_avg(mdl139_mktcap), 252), 252);s2 = ts_zscore (ts_backfill (vec_avg(oth193_wolfe_shield_global_mktcap), 252), 252);group = pv13_1l_scibr;group_zscore(s1+s2, group)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
26,2262006,20000000,3519,3460,0.1027,0.0218,0.1577,0.000425,0.16,0.39,2012-01-22,71A7Xg5,"s1 = ts_zscore (ts_backfill (vec_avg(mdl139_mktcap), 252), 252);s2 = ts_zscore (ts_backfill (vec_avg(oth193_wolfe_shield_global_mktcap), 252), 252);group = pv13_20_minvol_1m_sector;group_zscore(s1+s2, group)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
27,1798872,20000000,3515,3462,0.1043,0.0174,0.154,0.000333,0.12,0.32,2012-01-22,EE7ObYP,"s1 = ts_zscore (ts_backfill (vec_avg(mdl139_mktcap), 252), 252);s2 = ts_zscore (ts_backfill (vec_avg(oth193_wolfe_shield_global_mktcap), 252), 252);group = pv13_10_minvol_1m_sector;group_zscore(s1+s2, group)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
28,1165469,20000000,3248,3203,0.1048,0.0113,0.1403,0.000215,0.07,0.23,2012-01-22,VP91EE8,"s1 = ts_zscore (ts_backfill (vec_avg(mdl139_mktcap), 252), 252);s2 = ts_zscore (ts_backfill (vec_avg(oth193_wolfe_shield_global_mktcap), 252), 252);group = pv13_5l_scibr;group_zscore(s1+s2, group)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
29,870027,20000000,3189,3146,0.1055,0.0084,0.1447,0.000159,0.05,0.18,2012-01-22,3RbQ6g6,"s1 = ts_zscore (ts_backfill (vec_avg(mdl139_mktcap), 252), 252);s2 = ts_zscore (ts_backfill (vec_avg(oth193_wolfe_shield_global_mktcap), 252), 252);group = pv13_6l_scibr;group_zscore(s1+s2, group)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
