,pnl,book_size,long_count,short_count,turnover,returns,drawdown,margin,fitness,sharpe,start_date,alpha_id,expression,concentrated_weight,high_turnover,is_ladder_sharpe,low_fitness,low_sharpe,low_sub_universe_sharpe,low_turnover
0,8746509,20000000,3493,3487,0.1848,0.0845,0.009,0.000914,3.71,5.49,2012-01-22,9rvZRVK,"s1 = ts_zscore (ts_backfill (vec_avg(mdl139_score), 252), 252);s2 = ts_zscore (ts_backfill (vec_avg(oth193_shield2), 252), 252);group = pv13_20_minvol_1m_sector;group_zscore(s1+s2, group)",PASS,PASS,PASS,PASS,PASS,FAIL,PASS
1,9120942,20000000,3336,3329,0.179,0.0881,0.0103,0.000984,3.62,5.16,2012-01-22,d0Xkx1J,"s1 = ts_zscore (ts_backfill (vec_avg(mdl139_score), 252), 252);s2 = ts_zscore (ts_backfill (vec_avg(oth193_shield2), 252), 252);group = pv13_1l_scibr;group_zscore(s1+s2, group)",PASS,PASS,PASS,PASS,PASS,FAIL,PASS
2,8483961,20000000,3490,3487,0.1865,0.0819,0.01,0.000878,3.6,5.44,2012-01-22,XnrmKWz,"s1 = ts_zscore (ts_backfill (vec_avg(mdl139_score), 252), 252);s2 = ts_zscore (ts_backfill (vec_avg(oth193_shield2), 252), 252);group = pv13_10_minvol_1m_sector;group_zscore(s1+s2, group)",PASS,PASS,PASS,PASS,PASS,FAIL,PASS
3,8584940,20000000,3493,3485,0.1853,0.0829,0.0082,0.000895,3.54,5.3,2012-01-22,VP91YGJ,"s1 = ts_zscore (ts_backfill (vec_avg(mdl139_score), 252), 252);s2 = ts_zscore (ts_backfill (vec_avg(oth193_shield), 252), 252);group = pv13_20_minvol_1m_sector;group_zscore(s1+s2, group)",PASS,PASS,PASS,PASS,PASS,FAIL,PASS
4,8292249,20000000,3493,3488,0.1871,0.0801,0.0092,0.000856,3.43,5.24,2012-01-22,zmMKJNG,"s1 = ts_zscore (ts_backfill (vec_avg(mdl139_score), 252), 252);s2 = ts_zscore (ts_backfill (vec_avg(oth193_shield), 252), 252);group = pv13_10_minvol_1m_sector;group_zscore(s1+s2, group)",PASS,PASS,PASS,PASS,PASS,FAIL,PASS
5,9005648,20000000,3337,3328,0.1792,0.087,0.0143,0.000971,3.41,4.9,2012-01-22,1d9k7RQ,"s1 = ts_zscore (ts_backfill (vec_avg(mdl139_score), 252), 252);s2 = ts_zscore (ts_backfill (vec_avg(oth193_shield), 252), 252);group = pv13_1l_scibr;group_zscore(s1+s2, group)",PASS,PASS,PASS,PASS,PASS,FAIL,PASS
6,7801164,20000000,3168,3167,0.1846,0.0753,0.0087,0.000816,3.31,5.18,2012-01-22,vlqwLbQ,"s1 = ts_zscore (ts_backfill (vec_avg(mdl139_score), 252), 252);s2 = ts_zscore (ts_backfill (vec_avg(oth193_shield2), 252), 252);group = pv13_6l_scibr;group_zscore(s1+s2, group)",PASS,PASS,PASS,PASS,PASS,FAIL,PASS
7,7708870,20000000,3169,3167,0.1849,0.0744,0.009,0.000805,3.22,5.08,2012-01-22,mb3wxV5,"s1 = ts_zscore (ts_backfill (vec_avg(mdl139_score), 252), 252);s2 = ts_zscore (ts_backfill (vec_avg(oth193_shield), 252), 252);group = pv13_6l_scibr;group_zscore(s1+s2, group)",PASS,PASS,PASS,PASS,PASS,FAIL,PASS
8,7708024,20000000,3227,3226,0.1847,0.0744,0.0104,0.000806,3.21,5.05,2012-01-22,OZYQ9N7,"s1 = ts_zscore (ts_backfill (vec_avg(mdl139_score), 252), 252);s2 = ts_zscore (ts_backfill (vec_avg(oth193_shield2), 252), 252);group = pv13_5l_scibr;group_zscore(s1+s2, group)",PASS,PASS,PASS,PASS,PASS,FAIL,PASS
9,7597359,20000000,3227,3226,0.185,0.0734,0.0105,0.000793,3.11,4.93,2012-01-22,GLa1w7Q,"s1 = ts_zscore (ts_backfill (vec_avg(mdl139_score), 252), 252);s2 = ts_zscore (ts_backfill (vec_avg(oth193_shield), 252), 252);group = pv13_5l_scibr;group_zscore(s1+s2, group)",PASS,PASS,PASS,PASS,PASS,FAIL,PASS
