,pnl,book_size,long_count,short_count,turnover,returns,drawdown,margin,fitness,sharpe,start_date,alpha_id,expression,concentrated_weight,high_turnover,low_fitness,low_sharpe,low_sub_universe_sharpe,low_turnover,matches_competition
0,10000030,20000000,1727,1382,0.3259,0.1001,0.0837,0.000614,1.12,2.02,2012-01-22,oKP2Wrl,"x = regression_neut(implied_volatility_mean_10, implied_volatility_put_10);g = bucket(rank(implied_volatility_mean_10), range = ""0, 1, 0.1"") ;signal = group_neutralize(x,g);ts_backfill(ts_decay_linear(signal, 15), 63)",PASS,PASS,PASS,PASS,PASS,PASS,PASS
1,10200065,20000000,1817,1291,0.3181,0.1021,0.1582,0.000642,0.92,1.63,2012-01-22,XpNqWKb,"x = regression_neut(implied_volatility_call_10, implied_volatility_mean_10);g = bucket(rank(implied_volatility_call_10), range = ""0, 1, 0.1"") ;signal = group_neutralize(x,g);ts_backfill(ts_decay_linear(signal, 15), 63)",PASS,PASS,FAIL,PASS,PASS,PASS,PASS
2,9781614,20000000,1805,1303,0.3174,0.0979,0.1439,0.000617,0.92,1.66,2012-01-22,vLY0kLa,"x = regression_neut(implied_volatility_call_10, implied_volatility_put_10);g = bucket(rank(implied_volatility_call_10), range = ""0, 1, 0.1"") ;signal = group_neutralize(x,g);ts_backfill(ts_decay_linear(signal, 15), 63)",PASS,PASS,FAIL,PASS,PASS,PASS,PASS
3,8033462,20000000,1559,1549,0.2252,0.0804,0.2584,0.000714,0.34,0.57,2012-01-22,ZpXZAMd,"x = regression_neut(implied_volatility_mean_10, parkinson_volatility_10);g = bucket(rank(implied_volatility_mean_10), range = ""0, 1, 0.1"") ;signal = group_neutralize(x,g);ts_backfill(ts_decay_linear(signal, 15), 63)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS
4,6147054,20000000,1546,1563,0.2296,0.0615,0.2985,0.000536,0.26,0.5,2012-01-22,eO1AQbM,"x = regression_neut(implied_volatility_put_10, parkinson_volatility_10);g = bucket(rank(implied_volatility_put_10), range = ""0, 1, 0.1"") ;signal = group_neutralize(x,g);ts_backfill(ts_decay_linear(signal, 15), 63)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS
5,2608359,20000000,1569,1539,0.2288,0.0261,0.2003,0.000228,0.12,0.37,2012-01-22,KbVeObN,"x = regression_neut(implied_volatility_call_10, parkinson_volatility_10);g = bucket(rank(implied_volatility_call_10), range = ""0, 1, 0.1"") ;signal = group_neutralize(x,g);ts_backfill(ts_decay_linear(signal, 15), 63)",FAIL,PASS,FAIL,FAIL,PASS,PASS,PASS
6,1496211,20000000,1653,1455,0.233,0.015,0.4795,0.000129,0.05,0.21,2012-01-22,KbVeOL8,"x = regression_neut(historical_volatility_10, parkinson_volatility_10);g = bucket(rank(historical_volatility_10), range = ""0, 1, 0.1"") ;signal = group_neutralize(x,g);ts_backfill(ts_decay_linear(signal, 15), 63)",PASS,PASS,FAIL,FAIL,PASS,PASS,PASS
7,1341369,20000000,1707,1402,0.2616,0.0134,0.5158,0.000103,0.04,0.16,2012-01-22,17GvxgQ,"x = regression_neut(historical_volatility_10, implied_volatility_put_10);g = bucket(rank(historical_volatility_10), range = ""0, 1, 0.1"") ;signal = group_neutralize(x,g);ts_backfill(ts_decay_linear(signal, 15), 63)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
8,-276949,20000000,1696,1413,0.2547,-0.0028,0.5672,-2.2e-05,-0.0,-0.03,2012-01-22,vLY0kvv,"x = regression_neut(historical_volatility_10, implied_volatility_mean_10);g = bucket(rank(historical_volatility_10), range = ""0, 1, 0.1"") ;signal = group_neutralize(x,g);ts_backfill(ts_decay_linear(signal, 15), 63)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
9,-2030246,20000000,1693,1416,0.2628,-0.0203,0.6017,-0.000155,-0.07,-0.24,2012-01-22,bLxpRdl,"x = regression_neut(historical_volatility_10, implied_volatility_call_10);g = bucket(rank(historical_volatility_10), range = ""0, 1, 0.1"") ;signal = group_neutralize(x,g);ts_backfill(ts_decay_linear(signal, 15), 63)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
10,-3229720,20000000,1551,1557,0.2995,-0.0323,0.6633,-0.000216,-0.1,-0.29,2012-01-22,GwQVOx0,"x = regression_neut(implied_volatility_mean_10, implied_volatility_mean_skew_10);g = bucket(rank(implied_volatility_mean_10), range = ""0, 1, 0.1"") ;signal = group_neutralize(x,g);ts_backfill(ts_decay_linear(signal, 15), 63)",FAIL,PASS,FAIL,FAIL,PASS,PASS,PASS
11,-3449934,20000000,1497,1612,0.3351,-0.0345,0.3636,-0.000206,-0.11,-0.33,2012-01-22,QaWeKbK,"x = regression_neut(implied_volatility_mean_skew_10, parkinson_volatility_10);g = bucket(rank(implied_volatility_mean_skew_10), range = ""0, 1, 0.1"") ;signal = group_neutralize(x,g);ts_backfill(ts_decay_linear(signal, 15), 63)",PASS,PASS,FAIL,FAIL,PASS,PASS,PASS
12,-5389402,20000000,1545,1564,0.3242,-0.054,0.615,-0.000333,-0.18,-0.45,2012-01-22,dx9qOx2,"x = regression_neut(implied_volatility_call_10, implied_volatility_mean_skew_10);g = bucket(rank(implied_volatility_call_10), range = ""0, 1, 0.1"") ;signal = group_neutralize(x,g);ts_backfill(ts_decay_linear(signal, 15), 63)",PASS,PASS,FAIL,FAIL,PASS,PASS,PASS
13,-5078346,20000000,1485,1623,0.3334,-0.0508,0.5192,-0.000305,-0.2,-0.5,2012-01-22,jZVL8AQ,"x = regression_neut(implied_volatility_mean_skew_10, implied_volatility_put_10);g = bucket(rank(implied_volatility_mean_skew_10), range = ""0, 1, 0.1"") ;signal = group_neutralize(x,g);ts_backfill(ts_decay_linear(signal, 15), 63)",PASS,PASS,FAIL,FAIL,PASS,PASS,PASS
14,-5570719,20000000,1488,1620,0.3921,-0.0558,0.7171,-0.000284,-0.23,-0.62,2012-01-22,PpPeZOL,"x = regression_neut(historical_volatility_10, implied_volatility_mean_skew_10);g = bucket(rank(historical_volatility_10), range = ""0, 1, 0.1"") ;signal = group_neutralize(x,g);ts_backfill(ts_decay_linear(signal, 15), 63)",PASS,PASS,FAIL,FAIL,PASS,PASS,PASS
