,pnl,book_size,long_count,short_count,turnover,returns,drawdown,margin,fitness,sharpe,start_date,alpha_id,expression,concentrated_weight,high_turnover,low_fitness,low_sharpe,low_sub_universe_sharpe,low_turnover,matches_competition
22,20049790,20000000,1392,1209,0.7981,0.2007,0.1523,0.000503,1.0,1.99,2012-01-22,375MWQN,"add(0.2966*regression_neut(implied_volatility_mean_180, implied_volatility_put_150), 0.5622*-arc_cos(news_mins_2_chg), filter=True)",PASS,FAIL,PASS,PASS,PASS,PASS,PASS
23,11618599,20000000,1623,1348,0.0078,0.1163,0.2915,0.029832,0.99,1.03,2012-01-22,YpzeRgo,"-min(anl4_tot_gw_ft, est_bookvalue_ps)",FAIL,PASS,FAIL,FAIL,PASS,FAIL,PASS
24,15157637,20000000,577,1743,0.0305,0.1518,0.1843,0.009966,0.99,0.9,2012-01-22,roGZlv8,"ts_vector_neut(anl4_qfd1_azeps, anl4_tot_gw_ft, 250)",FAIL,PASS,FAIL,FAIL,PASS,PASS,PASS
25,9357998,20000000,174,307,0.0288,0.0937,0.2129,0.006496,0.98,1.13,2012-01-22,ngqL9pd,"-ts_corr(rp_nip_insider, rp_nip_legal, 180)",PASS,PASS,FAIL,FAIL,PASS,PASS,PASS
26,10075856,20000000,145,306,0.0285,0.1009,0.2636,0.007089,0.96,1.07,2012-01-22,VpzAVkJ,"-ts_corr(rp_css_insider, rp_css_marketing, 180)",PASS,PASS,FAIL,FAIL,PASS,PASS,PASS
27,79277944,20000000,45,3,0.9335,0.794,1.7372,0.001701,0.96,1.04,2012-01-22,vLGWXkQ,"-ts_vector_proj(news_mins_10_pct_dn, vec_avg(nws12_prez_5l), 5)",FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS
28,11564378,20000000,1166,129,0.0937,0.1158,0.3702,0.002472,0.96,1.0,2012-01-22,YpzRXxv,"add(0.7406*-ts_zscore(anl4_totassets_flag, 250), 0.8692*ts_covariance(anl4_dts_ptp, anl4_ptpr_flag, 10), filter=True)",FAIL,PASS,FAIL,FAIL,PASS,PASS,PASS
29,13153432,20000000,61,50,0.0687,0.1317,0.2051,0.003833,0.95,0.93,2012-01-22,adz5Xxw,"ts_co_skewness(vec_avg(anl4_basicconqfv110_down), anl4_netdebt_flag, 250)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
30,10013001,20000000,1871,1238,0.1243,0.1003,0.12,0.001613,0.94,1.05,2012-01-22,07g12r8,"add(0.172*-ts_corr(vec_avg(nws12_afterhsz_tonlow), vec_avg(nws12_mainz_eodlow), 5), 0.7256*ts_corr(news_ton_low, vec_avg(nws12_mainz_spylast), 250), filter=True)",PASS,PASS,FAIL,FAIL,PASS,PASS,PASS
31,67012751,20000000,22,1,0.7815,0.6715,0.8208,0.001719,0.91,0.98,2012-01-22,NpzYJ7e,"-ts_vector_proj(news_mins_20_pct_dn, vec_avg(nws12_afterhsz_5l), 250)",FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS
32,15449194,20000000,1656,1449,0.0926,0.1547,0.3528,0.00334,0.91,0.82,2012-01-22,5w5PaqJ,"add(0.2539*ts_median(vec_avg(nws12_mainz_result_vs_index), 180), 0.1292*-ts_theilsen(est_capex, est_eps, 60), filter=True)",FAIL,PASS,FAIL,FAIL,PASS,PASS,PASS
33,11489945,20000000,1384,1319,0.494,0.115,0.0983,0.000466,0.9,1.87,2012-01-22,qA3KZ8j,"add(0.4228*regression_neut(implied_volatility_mean_180, implied_volatility_put_150), 0.0479*-ts_co_skewness(vec_avg(anl4_eaz2lltv110_prevval), vec_avg(anl4_eaz2lqfv110_prevval), 60), filter=True)",PASS,PASS,FAIL,PASS,FAIL,PASS,PASS
34,9784505,20000000,1311,185,0.059,0.098,0.2161,0.00332,0.89,1.0,2012-01-22,RpzG22a,"add(0.4143*-ts_std_dev(est_cashflow_ps, 30), 0.7612*ts_co_skewness(vec_avg(anl4_ady_numest), anl4_capex_flag, 250), filter=True)",FAIL,PASS,FAIL,FAIL,PASS,PASS,PASS
35,18628164,20000000,1369,1097,0.2118,0.1865,0.2527,0.001761,0.87,0.93,2012-01-22,OpzlM7v,"add(0.2259*ts_theilsen(rp_css_mna, rp_css_ptg, 30), 0.6731*ts_corr(vec_avg(anl4_baz1v110_prevval), vec_avg(anl4_dez1afv4_preest), 30), filter=True)",FAIL,PASS,FAIL,FAIL,PASS,PASS,PASS
36,15449497,20000000,1537,1237,0.2069,0.1547,0.353,0.001495,0.86,0.99,2012-01-22,m81Pwv6,"add(0.9963*ts_vector_neut(anl4_epsr_value, anl4_rd_exp_flag, 5), 0.3496*-ts_corr(anl4_flag_erbfintax, anl4_totassets_std, 60), filter=True)",FAIL,PASS,FAIL,FAIL,PASS,PASS,PASS
37,54694645,20000000,442,327,0.6029,0.5476,0.8827,0.001816,0.85,0.89,2012-01-22,oKr152E,"add(0.7354*-ts_vector_proj(news_mins_2_pct_dn, vec_avg(nws12_prez_01s), 180), 0.9426*-ts_co_skewness(vec_avg(nws12_afterhsz_mainvwap), vec_avg(nws12_afterhsz_open_vol), 60), filter=True)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS
38,11386171,20000000,2194,891,0.0064,0.114,0.2261,0.035384,0.82,0.86,2012-01-22,vLGQWvz,"-max(anl4_bvps_mean, anl4_rd_exp_flag)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS
39,21258304,20000000,1085,251,0.5282,0.2128,0.375,0.000806,0.82,1.29,2012-01-22,OpV1qaJ,"add(0.8136*-ts_covariance(vec_avg(nws12_afterhsz_result1), vec_avg(nws12_prez_eodhigh), 30), 0.7574*-ts_vector_proj(vec_avg(nws12_mainz_3l), vec_avg(nws12_prez_4s), 5), filter=True)",FAIL,PASS,FAIL,PASS,FAIL,PASS,PASS
40,17251113,20000000,1375,1224,0.7828,0.1727,0.1559,0.000441,0.81,1.73,2012-01-22,Xpejqvl,"regression_neut(implied_volatility_mean_180, implied_volatility_put_150)",PASS,FAIL,FAIL,PASS,PASS,PASS,PASS
41,78058864,20000000,6,9,1.8218,0.7818,0.8981,0.000858,0.81,1.23,2012-01-22,Vp5vKV0,"ts_vector_neut(vec_avg(nws12_mainz_5s), vec_avg(nws12_prez_2l), 180)",FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS
42,65409657,20000000,23,3,0.9187,0.6551,1.5694,0.001426,0.79,0.94,2012-01-22,17Pq936,"-ts_vector_proj(news_mins_7_5_pct_dn, vec_avg(nws12_prez_57l), 250)",FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS
43,11656839,20000000,925,721,0.1929,0.1167,0.2328,0.00121,0.79,1.02,2012-01-22,Wp0EqZo,"add(0.0101*ts_co_skewness(vec_avg(anl4_mark), vec_avg(scl12_alltype_sentvec), 30), 0.6101*-ts_theilsen(vec_avg(anl4_eaz2lafv110_bk), vec_avg(anl4_eaz2lqfv110_person), 60), filter=True)",FAIL,PASS,FAIL,FAIL,PASS,PASS,PASS
44,34123152,20000000,699,58,0.8634,0.3416,0.4329,0.000791,0.77,1.23,2012-01-22,m81PJkX,"add(0.3894*-ts_vector_proj(news_mins_3_pct_up, vec_avg(nws12_prez_4l), 250), 0.8244*ts_co_skewness(vec_avg(anl4_basicconqfv110_median), est_grossincome, 30), filter=True)",FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS
45,20214807,20000000,1485,358,0.7288,0.2024,0.1442,0.000555,0.76,1.45,2012-01-22,XpejEml,"add(0.1609*-min(vec_avg(nws12_prez_maxdown), rp_nip_insider), 0.0569*-ts_theilsen(vec_avg(nws12_mainz_allvwap), vec_avg(nws12_mainz_peratio), 30), filter=True)",FAIL,FAIL,FAIL,PASS,FAIL,PASS,PASS
46,21595074,20000000,424,267,1.0517,0.2162,0.1474,0.000411,0.74,1.63,2012-01-22,RpKJXlz,"add(0.2015*ts_covariance(vec_avg(nws12_afterhsz_open_vol), vec_avg(nws12_afterhsz_postvwap), 10), 0.0387*-regression_proj(news_high_exc_stddev, vec_avg(nws12_prez_lowexcstddev)), filter=True)",FAIL,FAIL,FAIL,PASS,PASS,PASS,PASS
47,51169821,20000000,102,8,1.1362,0.5123,0.8337,0.000902,0.73,1.08,2012-01-22,Pp8JjQx,"-ts_vector_proj(news_mins_10_pct_dn, vec_avg(nws12_prez_2s), 5)",FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS
48,15528325,20000000,1700,1284,0.1294,0.1555,0.3526,0.002403,0.72,0.66,2012-01-22,6wJnVx7,"add(0.6193*ts_covariance(vec_avg(anl4_guiqfv4_est), anl4_qf_az_hgih_spe, 10), 0.3884*ts_vector_proj(implied_volatility_mean_skew_360, implied_volatility_put_90, 30), 0.2673*-ts_theilsen(rp_css_price, rp_css_ptg, 180), filter=True)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS
49,7938866,20000000,1816,1137,0.0324,0.0795,0.1995,0.004904,0.72,0.9,2012-01-22,oKGxMd6,"add(0.8465*-ts_co_skewness(news_mins_10_chg, vec_avg(nws12_prez_4p), 60), 0.0918*ts_corr(vec_avg(nws12_prez_spyclose), vwap, 250), filter=True)",PASS,PASS,FAIL,FAIL,PASS,PASS,PASS
50,13276088,20000000,1365,899,0.3006,0.1329,0.2018,0.000884,0.7,1.06,2012-01-22,bLnY7XZ,"add(0.7545*-ts_corr(anl4_dts_rspe, news_short_interest, 250), 0.6855*-ts_covariance(anl4_dts_rspe, anl4_qfd1_az_dts_spe, 250), 0.5254*-ts_skewness(vec_avg(nws12_afterhsz_prev_vol), 5), filter=True)",FAIL,PASS,FAIL,FAIL,PASS,PASS,PASS
51,12613068,20000000,2246,859,0.1411,0.1263,0.6317,0.001789,0.61,0.65,2012-01-22,xxWKOJq,"add(0.3072*-min(news_atr_ratio, vec_avg(nws12_afterhsz_reportsess)), 0.4005*-ts_covariance(vec_avg(nws12_mainz_maxup), vec_avg(nws12_mainz_result1), 250), 0.2277*ts_max_diff(vec_avg(nws18_qep), 180), filter=True)",PASS,PASS,FAIL,FAIL,PASS,PASS,PASS
52,10169209,20000000,1540,1495,0.816,0.1018,0.1263,0.00025,0.35,0.99,2012-01-22,eOvlgAl,"trade_when( ts_rank( ts_std_dev(returns, 22), 252 ) > 0.55,  -ts_regression(returns, ts_delay(returns,1), 252), -1 )",PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
