,pnl,book_size,long_count,short_count,turnover,returns,drawdown,margin,fitness,sharpe,start_date,alpha_id,expression,concentrated_weight,high_turnover,low_fitness,low_sharpe,low_sub_universe_sharpe,low_turnover,matches_competition
0,40088586,20000000,950,1996,0.0608,0.4014,0.514,0.01321,2.11,1.18,2012-01-22,vLGWl3z,"ts_theilsen(vec_avg(nws12_afterhsz_spyclose), cap, 250)",FAIL,PASS,PASS,FAIL,FAIL,PASS,PASS
1,98104133,20000000,18,0,0.4555,0.9834,1.1795,0.004318,1.73,1.18,2012-01-22,eOGXKQg,"-ts_vector_proj(vec_avg(nws12_afterhsz_1p), vec_avg(nws12_prez_02p), 250)",FAIL,PASS,PASS,FAIL,FAIL,PASS,PASS
2,83627711,20000000,20,0,0.3601,0.8386,1.1564,0.004658,1.71,1.12,2012-01-22,dxzNmbv,"-ts_vector_proj(vec_avg(nws12_mainz_57l), vec_avg(nws12_prez_02l), 30)",FAIL,PASS,PASS,FAIL,FAIL,PASS,PASS
3,84451589,20000000,19,0,0.4377,0.8465,1.3646,0.003868,1.57,1.13,2012-01-22,adz5lxx,"-ts_vector_proj(vec_avg(nws12_mainz_4l), vec_avg(nws12_prez_02l), 60)",FAIL,PASS,PASS,FAIL,FAIL,PASS,PASS
4,28800644,20000000,984,110,0.0285,0.2884,0.417,0.020224,1.53,1.01,2012-01-22,Opz3lGp,"-ts_covariance(anl4_bvps_low, anl4_qf_az_wol_spfc, 180)",FAIL,PASS,PASS,FAIL,PASS,PASS,PASS
5,22442324,20000000,572,0,0.1406,0.2269,0.2375,0.003227,1.5,1.18,2012-01-22,ngqLZZE,"ts_corr(anl4_epsr_mean, est_epsr, 5)",FAIL,PASS,PASS,FAIL,PASS,PASS,PASS
6,51944043,20000000,1724,1089,0.1699,0.5201,1.9786,0.006123,1.42,0.81,2012-01-22,37P8ZKO,"add(0.2987*ts_covariance(news_mins_20_chg, vec_avg(nws12_afterhsz_3p), 30), 0.3215*-ts_min_diff(vec_avg(anl4_mark), 5), 0.4551*ts_corr(vec_avg(nws12_afterhsz_mktcap), vwap, 250), filter=True)",FAIL,PASS,PASS,FAIL,FAIL,PASS,PASS
7,12026489,20000000,1055,1244,0.0718,0.1616,0.1625,0.004497,1.34,1.18,2012-01-22,Ewz9VEr,"-ts_theilsen(vec_avg(nws12_mainz_mainvwap), vec_avg(nws12_prez_dayopen), 180)",FAIL,PASS,PASS,FAIL,FAIL,PASS,PASS
8,91947096,20000000,59,3,0.7774,0.9221,1.5942,0.002372,1.33,1.22,2012-01-22,p6G9vKq,"-ts_vector_proj(vec_avg(nws12_prez_57s), vec_avg(nws12_prez_5l), 5)",FAIL,FAIL,PASS,FAIL,FAIL,PASS,PASS
9,66361119,20000000,1362,373,1.0349,0.6644,0.5774,0.001284,1.31,1.64,2012-01-22,Gwxq1ZQ,"add(0.8467*-ts_theilsen(vec_avg(nws12_mainz_mainvwap), vec_avg(nws12_prez_dayopen), 180), 0.9186*-ts_vector_proj(news_mins_4_pct_dn, news_mins_7_5_pct_up, 5), filter=True)",FAIL,FAIL,PASS,PASS,PASS,PASS,PASS
10,16967348,20000000,9,138,0.1057,0.1699,0.2895,0.003214,1.26,1.08,2012-01-22,wRG09R2,"-ts_corr(fscore_surface, rp_css_inverstor, 60)",FAIL,PASS,PASS,FAIL,PASS,PASS,PASS
11,83607519,20000000,30,18,0.4848,0.8384,1.0534,0.003459,1.25,0.95,2012-01-22,9wMNgx1,"add(0.0236*-ts_vector_proj(vec_avg(nws12_mainz_57l), vec_avg(nws12_prez_02l), 30), 0.5714*-ts_co_skewness(news_mins_5_pct_up, vec_avg(nws12_afterhsz_3l), 10), filter=True)",FAIL,PASS,PASS,FAIL,FAIL,PASS,PASS
12,19939780,20000000,1410,273,0.0419,0.1996,0.4506,0.009522,1.21,0.96,2012-01-22,Xpzdn6X,"-ts_vector_neut(anl4_qfd1_az_dts_spe, est_dividend_ps, 5)",FAIL,PASS,PASS,FAIL,PASS,PASS,PASS
13,22798853,20000000,2248,865,0.282,0.2283,0.2504,0.001619,1.12,1.24,2012-01-22,p6G9eRv,"add(0.8535*-ts_vector_proj(anl4_bvps_mean, anl4_netdebt_number, 250), 0.9768*-min(vec_avg(nws12_afterhsz_allticks), vec_avg(nws12_mainz_volstddev)), filter=True)",FAIL,PASS,PASS,FAIL,FAIL,PASS,PASS
14,17874718,20000000,1964,359,0.0072,0.179,0.3047,0.049765,1.12,0.94,2012-01-22,RpzgOwe,"-ts_max(est_bookvalue_ps, 250)",FAIL,PASS,PASS,FAIL,FAIL,FAIL,PASS
15,16706245,20000000,782,401,0.0076,0.1673,0.4591,0.044182,1.11,0.96,2012-01-22,5w5XmK6,"-regression_neut(anl4_bvps_high, vec_avg(anl4_fsgdncbscv4_maxguidance))",FAIL,PASS,PASS,FAIL,PASS,FAIL,PASS
16,14802453,20000000,1394,367,0.0323,0.1482,0.4139,0.009179,1.1,1.01,2012-01-22,Ewz91ZR,"add(0.1608*-ts_vector_neut(anl4_qf_az_dts_spe, anl4_tot_gw_ft, 30), 0.3487*-ts_corr(rp_nip_insider, rp_nip_legal, 180), filter=True)",FAIL,PASS,PASS,FAIL,PASS,PASS,PASS
17,41240930,20000000,1421,214,0.4066,0.4129,0.5959,0.002031,1.1,1.09,2012-01-22,oKr1pbm,"add(0.395*-ts_vector_neut(anl4_qfd1_az_dts_spe, anl4_tot_gw_ft, 5), 0.9468*-ts_vector_proj(vec_avg(nws12_prez_02p), vec_avg(nws12_prez_1p), 5), filter=True)",FAIL,PASS,PASS,FAIL,FAIL,PASS,PASS
18,15665400,20000000,1172,965,0.05,0.1568,0.3473,0.006278,1.09,0.97,2012-01-22,NpzYvEE,"add(0.8108*-ts_theilsen(anl4_bvps_number, vec_avg(nws12_prez_div_y), 30), 0.4125*ts_covariance(vec_avg(nws12_afterhsz_41rta), vec_avg(nws12_prez_peratio), 180), filter=True)",FAIL,PASS,PASS,FAIL,PASS,PASS,PASS
19,14722504,20000000,2249,555,0.1683,0.1474,0.1828,0.001752,1.06,1.13,2012-01-22,2763Xpw,"add(0.7066*-ts_theilsen(news_session_range_pct, vec_avg(nws12_mainz_open_vol), 30), 0.6646*-ts_covariance(vec_avg(nws12_mainz_spylast), vec_avg(nws12_prez_spylast), 60), filter=True)",FAIL,PASS,PASS,FAIL,PASS,PASS,PASS
20,13969827,20000000,1896,427,0.0058,0.1399,0.26,0.048163,1.04,0.98,2012-01-22,17KM83k,"-ts_backfill(anl4_bvps_high, 60)",FAIL,PASS,PASS,FAIL,FAIL,FAIL,PASS
21,19266669,20000000,2437,656,0.1935,0.1929,0.5604,0.001994,1.01,1.01,2012-01-22,g1dYO7J,"add(0.4734*-ts_vector_proj(news_mins_7_5_pct_up, vec_avg(nws12_prez_01l), 60), 0.5319*ts_covariance(news_max_dn_amt, vec_avg(nws12_allz_result1), 250), filter=True)",FAIL,PASS,PASS,FAIL,FAIL,PASS,PASS
