,pnl,book_size,long_count,short_count,turnover,returns,drawdown,margin,fitness,sharpe,start_date,alpha_id,expression,concentrated_weight,high_turnover,is_ladder_sharpe,low_fitness,low_sharpe,low_sub_universe_sharpe,low_turnover
0,4703552,20000000,3444,3313,0.0464,0.0454,0.0246,0.001959,1.43,2.37,2012-01-22,2L0WA75,"group_Sep03GLB_0 = (country+1)*group_max(pv13_52_minvol_1m_all_delay_1_sector, market) + pv13_52_minvol_1m_all_delay_1_sector;signal_Sep03GLB_0 = group_neutralize(ts_scale(group_backfill(fnd23_intfvalld1_ecns, industry, 252, std=1), 252), densify(group_Sep03GLB_0));s1_Sep13GLB_11 = ts_zscore (ts_backfill (vec_avg(mdl139_score), 252), 252);s2_Sep13GLB_11 = ts_zscore (ts_backfill (vec_avg(oth193_wolfe_shield_global_mktcap), 252), 252);group_Sep13GLB_11 = pv13_20_minvol_1m_sector;signal_Sep13GLB_11 = group_zscore(s1_Sep13GLB_11+s2_Sep13GLB_11, group_Sep13GLB_11);add(scale_down(signal_Sep03GLB_0), scale_down(signal_Sep13GLB_11), filter = false)",PASS,PASS,PASS,PASS,PASS,PASS,PASS
1,4709526,20000000,3443,3313,0.0482,0.0455,0.0253,0.001888,1.42,2.36,2012-01-22,wlmPQlv,"group_Sep03GLB_0 = (country+1)*group_max(pv13_52_minvol_1m_all_delay_1_sector, market) + pv13_52_minvol_1m_all_delay_1_sector;signal_Sep03GLB_0 = group_neutralize(ts_scale(group_backfill(fnd23_intfvalld1_ecns, industry, 252, std=1), 252), densify(group_Sep03GLB_0));s1_Sep13GLB_12 = ts_zscore (ts_backfill (vec_avg(mdl139_score), 252), 252);s2_Sep13GLB_12 = ts_zscore (ts_backfill (vec_avg(oth193_wolfe_shield_global_mktcap), 252), 252);group_Sep13GLB_12 = pv13_10_minvol_1m_sector;signal_Sep13GLB_12 = group_zscore(s1_Sep13GLB_12+s2_Sep13GLB_12, group_Sep13GLB_12);add(scale_down(signal_Sep03GLB_0), scale_down(signal_Sep13GLB_12), filter = false)",PASS,PASS,PASS,PASS,PASS,PASS,PASS
2,4685885,20000000,3138,2993,0.0507,0.0452,0.0247,0.001785,1.42,2.36,2012-01-22,EE7L6EJ,"group_Sep03GLB_0 = (country+1)*group_max(pv13_52_minvol_1m_all_delay_1_sector, market) + pv13_52_minvol_1m_all_delay_1_sector;signal_Sep03GLB_0 = group_neutralize(ts_scale(group_backfill(fnd23_intfvalld1_ecns, industry, 252, std=1), 252), densify(group_Sep03GLB_0));s1_Sep13GLB_14 = ts_zscore (ts_backfill (vec_avg(mdl139_score), 252), 252);s2_Sep13GLB_14 = ts_zscore (ts_backfill (vec_avg(oth193_wolfe_shield_global_mktcap), 252), 252);group_Sep13GLB_14 = pv13_6l_scibr;signal_Sep13GLB_14 = group_zscore(s1_Sep13GLB_14+s2_Sep13GLB_14, group_Sep13GLB_14);add(scale_down(signal_Sep03GLB_0), scale_down(signal_Sep13GLB_14), filter = false)",PASS,PASS,PASS,PASS,PASS,PASS,PASS
3,4679427,20000000,3194,3050,0.0494,0.0452,0.0252,0.001831,1.4,2.33,2012-01-22,3Rb5o7Z,"group_Sep03GLB_0 = (country+1)*group_max(pv13_52_minvol_1m_all_delay_1_sector, market) + pv13_52_minvol_1m_all_delay_1_sector;signal_Sep03GLB_0 = group_neutralize(ts_scale(group_backfill(fnd23_intfvalld1_ecns, industry, 252, std=1), 252), densify(group_Sep03GLB_0));s1_Sep13GLB_13 = ts_zscore (ts_backfill (vec_avg(mdl139_score), 252), 252);s2_Sep13GLB_13 = ts_zscore (ts_backfill (vec_avg(oth193_wolfe_shield_global_mktcap), 252), 252);group_Sep13GLB_13 = pv13_5l_scibr;signal_Sep13GLB_13 = group_zscore(s1_Sep13GLB_13+s2_Sep13GLB_13, group_Sep13GLB_13);add(scale_down(signal_Sep03GLB_0), scale_down(signal_Sep13GLB_13), filter = false)",PASS,PASS,PASS,PASS,PASS,PASS,PASS
4,4776417,20000000,3293,3155,0.0427,0.0461,0.0278,0.002161,1.37,2.25,2012-01-22,k07ONKP,"group_Sep03GLB_0 = (country+1)*group_max(pv13_52_minvol_1m_all_delay_1_sector, market) + pv13_52_minvol_1m_all_delay_1_sector;signal_Sep03GLB_0 = group_neutralize(ts_scale(group_backfill(fnd23_intfvalld1_ecns, industry, 252, std=1), 252), densify(group_Sep03GLB_0));s1_Sep13GLB_10 = ts_zscore (ts_backfill (vec_avg(mdl139_score), 252), 252);s2_Sep13GLB_10 = ts_zscore (ts_backfill (vec_avg(oth193_wolfe_shield_global_mktcap), 252), 252);group_Sep13GLB_10 = pv13_1l_scibr;signal_Sep13GLB_10 = group_zscore(s1_Sep13GLB_10+s2_Sep13GLB_10, group_Sep13GLB_10);add(scale_down(signal_Sep03GLB_0), scale_down(signal_Sep13GLB_10), filter = false)",PASS,PASS,PASS,PASS,PASS,PASS,PASS
5,4343104,20000000,3443,3316,0.0499,0.0419,0.0312,0.001681,1.25,2.16,2012-01-22,gMAdeeK,"group_Sep03GLB_0 = (country+1)*group_max(pv13_52_minvol_1m_all_delay_1_sector, market) + pv13_52_minvol_1m_all_delay_1_sector;signal_Sep03GLB_0 = group_neutralize(ts_scale(group_backfill(fnd23_intfvalld1_ecns, industry, 252, std=1), 252), densify(group_Sep03GLB_0));s1_Sep13GLB_17 = ts_zscore (ts_backfill (vec_avg(mdl139_mktcap), 252), 252);s2_Sep13GLB_17 = ts_zscore (ts_backfill (vec_avg(oth193_shield2), 252), 252);group_Sep13GLB_17 = pv13_20_minvol_1m_sector;signal_Sep13GLB_17 = group_zscore(s1_Sep13GLB_17+s2_Sep13GLB_17, group_Sep13GLB_17);add(scale_down(signal_Sep03GLB_0), scale_down(signal_Sep13GLB_17), filter = false)",PASS,PASS,FAIL,PASS,PASS,PASS,PASS
6,4319355,20000000,3442,3315,0.0517,0.0417,0.0303,0.001614,1.25,2.16,2012-01-22,n2JQXVw,"group_Sep03GLB_0 = (country+1)*group_max(pv13_52_minvol_1m_all_delay_1_sector, market) + pv13_52_minvol_1m_all_delay_1_sector;signal_Sep03GLB_0 = group_neutralize(ts_scale(group_backfill(fnd23_intfvalld1_ecns, industry, 252, std=1), 252), densify(group_Sep03GLB_0));s1_Sep13GLB_19 = ts_zscore (ts_backfill (vec_avg(mdl139_mktcap), 252), 252);s2_Sep13GLB_19 = ts_zscore (ts_backfill (vec_avg(oth193_shield2), 252), 252);group_Sep13GLB_19 = pv13_10_minvol_1m_sector;signal_Sep13GLB_19 = group_zscore(s1_Sep13GLB_19+s2_Sep13GLB_19, group_Sep13GLB_19);add(scale_down(signal_Sep03GLB_0), scale_down(signal_Sep13GLB_19), filter = false)",PASS,PASS,FAIL,PASS,PASS,PASS,PASS
7,4535765,20000000,3292,3157,0.0469,0.0438,0.0334,0.001869,1.23,2.07,2012-01-22,vlq61v3,"group_Sep03GLB_0 = (country+1)*group_max(pv13_52_minvol_1m_all_delay_1_sector, market) + pv13_52_minvol_1m_all_delay_1_sector;signal_Sep03GLB_0 = group_neutralize(ts_scale(group_backfill(fnd23_intfvalld1_ecns, industry, 252, std=1), 252), densify(group_Sep03GLB_0));s1_Sep13GLB_15 = ts_zscore (ts_backfill (vec_avg(mdl139_mktcap), 252), 252);s2_Sep13GLB_15 = ts_zscore (ts_backfill (vec_avg(oth193_shield2), 252), 252);group_Sep13GLB_15 = pv13_1l_scibr;signal_Sep13GLB_15 = group_zscore(s1_Sep13GLB_15+s2_Sep13GLB_15, group_Sep13GLB_15);add(scale_down(signal_Sep03GLB_0), scale_down(signal_Sep13GLB_15), filter = false)",PASS,PASS,FAIL,PASS,PASS,PASS,PASS
8,4272254,20000000,3442,3315,0.0496,0.0413,0.0334,0.001665,1.21,2.11,2012-01-22,d0XoWag,"group_Sep03GLB_0 = (country+1)*group_max(pv13_52_minvol_1m_all_delay_1_sector, market) + pv13_52_minvol_1m_all_delay_1_sector;signal_Sep03GLB_0 = group_neutralize(ts_scale(group_backfill(fnd23_intfvalld1_ecns, industry, 252, std=1), 252), densify(group_Sep03GLB_0));s1_Sep13GLB_18 = ts_zscore (ts_backfill (vec_avg(mdl139_mktcap), 252), 252);s2_Sep13GLB_18 = ts_zscore (ts_backfill (vec_avg(oth193_shield), 252), 252);group_Sep13GLB_18 = pv13_20_minvol_1m_sector;signal_Sep13GLB_18 = group_zscore(s1_Sep13GLB_18+s2_Sep13GLB_18, group_Sep13GLB_18);add(scale_down(signal_Sep03GLB_0), scale_down(signal_Sep13GLB_18), filter = false)",PASS,PASS,FAIL,PASS,PASS,PASS,PASS
9,4458939,20000000,3293,3158,0.0465,0.0431,0.0354,0.001851,1.19,2.02,2012-01-22,698JdAY,"group_Sep03GLB_0 = (country+1)*group_max(pv13_52_minvol_1m_all_delay_1_sector, market) + pv13_52_minvol_1m_all_delay_1_sector;signal_Sep03GLB_0 = group_neutralize(ts_scale(group_backfill(fnd23_intfvalld1_ecns, industry, 252, std=1), 252), densify(group_Sep03GLB_0));s1_Sep13GLB_16 = ts_zscore (ts_backfill (vec_avg(mdl139_mktcap), 252), 252);s2_Sep13GLB_16 = ts_zscore (ts_backfill (vec_avg(oth193_shield), 252), 252);group_Sep13GLB_16 = pv13_1l_scibr;signal_Sep13GLB_16 = group_zscore(s1_Sep13GLB_16+s2_Sep13GLB_16, group_Sep13GLB_16);add(scale_down(signal_Sep03GLB_0), scale_down(signal_Sep13GLB_16), filter = false)",PASS,PASS,FAIL,PASS,PASS,PASS,PASS
