,pnl,book_size,long_count,short_count,turnover,returns,drawdown,margin,fitness,sharpe,start_date,alpha_id,expression,concentrated_weight,high_turnover,is_ladder_sharpe,low_fitness,low_sharpe,low_sub_universe_sharpe,low_turnover
0,12619416,20000000,877,940,0.6402,0.1219,0.0812,0.000381,0.92,2.11,2012-01-22,eOEO72l,"pro_A_0 = oth460_1l_acda;stock_A_0 = ts_zscore(ts_backfill(anl69_cps_best_eeps_nxt_yr, 21),21);factor_A_0 = group_zscore(ts_ir(returns, 252), industry);alpha_A_0 = regression_neut(stock_A_0, factor_A_0);signal_A_0 = trade_when(pro_A_0<=0.5, alpha_A_0, pro_A_0>0.5);WR_D_1 = (high-close)/(high-low) * -100;cond_D_1 = volume > adv20;gr_D_1 = group_rank(cond_D_1, sector);signal_D_1 = trade_when(WR_D_1<-80, gr_D_1, WR_D_1 >-20 );add(scale_down(signal_A_0), 0.2*scale_down(signal_D_1), filter = false)",PASS,PASS,FAIL,FAIL,PASS,PASS,PASS
1,12332406,20000000,882,935,0.6324,0.1191,0.0808,0.000377,0.91,2.09,2012-01-22,WpJpjnZ,"pro_A_0 = oth460_1l_acda;stock_A_0 = ts_zscore(ts_backfill(anl69_cps_best_eeps_nxt_yr, 21),21);factor_A_0 = group_zscore(ts_ir(returns, 252), industry);alpha_A_0 = regression_neut(stock_A_0, factor_A_0);signal_A_0 = trade_when(pro_A_0<=0.5, alpha_A_0, pro_A_0>0.5);WR_D_0 = (high-close)/(high-low) * -100;cond_D_0 = volume > adv20;gr_D_0 = group_rank(cond_D_0, subindustry);signal_D_0 = trade_when(WR_D_0<-80, gr_D_0, WR_D_0 >-20 );add(scale_down(signal_A_0), 0.2*scale_down(signal_D_0), filter = false)",PASS,PASS,FAIL,FAIL,PASS,PASS,PASS
2,12152685,20000000,886,931,0.6293,0.1173,0.0746,0.000373,0.89,2.05,2012-01-22,6wNwXYO,"pro_A_0 = oth460_1l_acda;stock_A_0 = ts_zscore(ts_backfill(anl69_cps_best_eeps_nxt_yr, 21),21);factor_A_0 = group_zscore(ts_ir(returns, 252), industry);alpha_A_0 = regression_neut(stock_A_0, factor_A_0);signal_A_0 = trade_when(pro_A_0<=0.5, alpha_A_0, pro_A_0>0.5);WR_D_2 = (high-close)/(high-low) * -100;cond_D_2 = volume > 1.2*adv20;gr_D_2 = group_rank(cond_D_2, subindustry);signal_D_2 = trade_when(WR_D_2<-80, gr_D_2, WR_D_2 >-20 );add(scale_down(signal_A_0), 0.2*scale_down(signal_D_2), filter = false)",PASS,PASS,FAIL,FAIL,PASS,PASS,PASS
3,13292583,20000000,648,683,0.7166,0.1284,0.0752,0.000358,0.89,2.1,2012-01-22,dxvxgPE,"pro_A_4 = oth460_1l_m3r_mtn_spb_se;stock_A_4 = ts_zscore(ts_backfill(anl69_cpss_best_eeps_nxt_yr, 21),21);factor_A_4 = group_zscore(ts_ir(returns, 252), industry);alpha_A_4 = regression_neut(stock_A_4, factor_A_4);signal_A_4 = trade_when(pro_A_4<=0.5, alpha_A_4, pro_A_4>0.5);WR_D_0 = (high-close)/(high-low) * -100;cond_D_0 = volume > adv20;gr_D_0 = group_rank(cond_D_0, subindustry);signal_D_0 = trade_when(WR_D_0<-80, gr_D_0, WR_D_0 >-20 );add(scale_down(signal_A_4), 0.2*scale_down(signal_D_0), filter = false)",PASS,FAIL,PASS,FAIL,PASS,PASS,PASS
4,13483560,20000000,645,686,0.7244,0.1302,0.0737,0.000359,0.89,2.1,2012-01-22,17071RK,"pro_A_4 = oth460_1l_m3r_mtn_spb_se;stock_A_4 = ts_zscore(ts_backfill(anl69_cpss_best_eeps_nxt_yr, 21),21);factor_A_4 = group_zscore(ts_ir(returns, 252), industry);alpha_A_4 = regression_neut(stock_A_4, factor_A_4);signal_A_4 = trade_when(pro_A_4<=0.5, alpha_A_4, pro_A_4>0.5);WR_D_1 = (high-close)/(high-low) * -100;cond_D_1 = volume > adv20;gr_D_1 = group_rank(cond_D_1, sector);signal_D_1 = trade_when(WR_D_1<-80, gr_D_1, WR_D_1 >-20 );add(scale_down(signal_A_4), 0.2*scale_down(signal_D_1), filter = false)",PASS,FAIL,PASS,FAIL,PASS,PASS,PASS
5,12665453,20000000,880,937,0.6345,0.1223,0.0952,0.000385,0.89,2.02,2012-01-22,RpPpYAz,"pro_A_3 = oth460_1l_acda;stock_A_3 = ts_zscore(ts_backfill(anl69_cps_best_eeps_nxt_yr, 21),21);factor_A_3 = group_zscore(ts_ir(returns, 252), industry);alpha_A_3 = vector_neut(stock_A_3, factor_A_3);signal_A_3 = trade_when(pro_A_3<=0.5, alpha_A_3, pro_A_3>0.5);WR_D_1 = (high-close)/(high-low) * -100;cond_D_1 = volume > adv20;gr_D_1 = group_rank(cond_D_1, sector);signal_D_1 = trade_when(WR_D_1<-80, gr_D_1, WR_D_1 >-20 );add(scale_down(signal_A_3), 0.2*scale_down(signal_D_1), filter = false)",PASS,PASS,FAIL,FAIL,PASS,PASS,PASS
6,13170863,20000000,652,679,0.7138,0.1272,0.0768,0.000356,0.88,2.08,2012-01-22,MpVpqvk,"pro_A_4 = oth460_1l_m3r_mtn_spb_se;stock_A_4 = ts_zscore(ts_backfill(anl69_cpss_best_eeps_nxt_yr, 21),21);factor_A_4 = group_zscore(ts_ir(returns, 252), industry);alpha_A_4 = regression_neut(stock_A_4, factor_A_4);signal_A_4 = trade_when(pro_A_4<=0.5, alpha_A_4, pro_A_4>0.5);WR_D_2 = (high-close)/(high-low) * -100;cond_D_2 = volume > 1.2*adv20;gr_D_2 = group_rank(cond_D_2, subindustry);signal_D_2 = trade_when(WR_D_2<-80, gr_D_2, WR_D_2 >-20 );add(scale_down(signal_A_4), 0.2*scale_down(signal_D_2), filter = false)",PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
7,12359834,20000000,882,935,0.6269,0.1193,0.0948,0.000381,0.87,1.99,2012-01-22,AwEwbvQ,"pro_A_3 = oth460_1l_acda;stock_A_3 = ts_zscore(ts_backfill(anl69_cps_best_eeps_nxt_yr, 21),21);factor_A_3 = group_zscore(ts_ir(returns, 252), industry);alpha_A_3 = vector_neut(stock_A_3, factor_A_3);signal_A_3 = trade_when(pro_A_3<=0.5, alpha_A_3, pro_A_3>0.5);WR_D_0 = (high-close)/(high-low) * -100;cond_D_0 = volume > adv20;gr_D_0 = group_rank(cond_D_0, subindustry);signal_D_0 = trade_when(WR_D_0<-80, gr_D_0, WR_D_0 >-20 );add(scale_down(signal_A_3), 0.2*scale_down(signal_D_0), filter = false)",PASS,PASS,FAIL,FAIL,PASS,PASS,PASS
8,12166882,20000000,886,931,0.6239,0.1175,0.089,0.000377,0.85,1.96,2012-01-22,RpPpYEz,"pro_A_3 = oth460_1l_acda;stock_A_3 = ts_zscore(ts_backfill(anl69_cps_best_eeps_nxt_yr, 21),21);factor_A_3 = group_zscore(ts_ir(returns, 252), industry);alpha_A_3 = vector_neut(stock_A_3, factor_A_3);signal_A_3 = trade_when(pro_A_3<=0.5, alpha_A_3, pro_A_3>0.5);WR_D_2 = (high-close)/(high-low) * -100;cond_D_2 = volume > 1.2*adv20;gr_D_2 = group_rank(cond_D_2, subindustry);signal_D_2 = trade_when(WR_D_2<-80, gr_D_2, WR_D_2 >-20 );add(scale_down(signal_A_3), 0.2*scale_down(signal_D_2), filter = false)",PASS,PASS,FAIL,FAIL,PASS,PASS,PASS
9,11887221,20000000,550,594,0.6385,0.1148,0.0745,0.00036,0.81,1.92,2012-01-22,jZOZ2W5,"pro_A_1 = oth460_1l_ccns;stock_A_1 = ts_zscore(ts_backfill(anl69_cpss_best_eeps_nxt_yr, 21),21);factor_A_1 = group_zscore(ts_ir(returns, 252), industry);alpha_A_1 = regression_neut(stock_A_1, factor_A_1);signal_A_1 = trade_when(pro_A_1<=0.5, alpha_A_1, pro_A_1>0.5);WR_D_0 = (high-close)/(high-low) * -100;cond_D_0 = volume > adv20;gr_D_0 = group_rank(cond_D_0, subindustry);signal_D_0 = trade_when(WR_D_0<-80, gr_D_0, WR_D_0 >-20 );add(scale_down(signal_A_1), 0.2*scale_down(signal_D_0), filter = false)",PASS,PASS,FAIL,FAIL,PASS,PASS,PASS
