,pnl,book_size,long_count,short_count,turnover,returns,drawdown,margin,fitness,sharpe,start_date,alpha_id,expression,concentrated_weight,high_turnover,low_fitness,low_sharpe,low_sub_universe_sharpe,low_turnover,matches_competition
0,14821161,20000000,1105,1163,0.3449,0.1431,0.0549,0.00083,1.75,2.71,2012-01-22,m81deY5,"add(trade_when(oth460_1l_ccns<=0.5, regression_neut(ts_zscore(ts_backfill(anl69_cpss_best_eeps_nxt_yr, 21),21), group_zscore(ts_ir(returns, 252), industry)), oth460_1l_ccns>0.5), trade_when(oth460_1l_ccns<=0.5, vector_neut(ts_zscore(ts_backfill(anl69_cpss_best_eeps_nxt_yr, 21),21), group_zscore(ts_ir(returns, 252), industry)), oth460_1l_ccns>0.5), filter = false)",PASS,PASS,PASS,PASS,PASS,PASS,PASS
1,14787980,20000000,942,981,0.3519,0.1428,0.0538,0.000812,1.7,2.67,2012-01-22,QagOmKg,"add(trade_when(oth460_1l_acda<=0.5, regression_neut(ts_zscore(ts_backfill(anl69_cps_best_eeps_nxt_yr, 21),21), group_zscore(ts_ir(returns, 252), industry)), oth460_1l_acda>0.5), trade_when(oth460_1l_ccns<=0.5, regression_neut(ts_zscore(ts_backfill(anl69_cpss_best_eeps_nxt_yr, 21),21), group_zscore(ts_ir(returns, 252), industry)), oth460_1l_ccns>0.5), filter = false)",PASS,PASS,PASS,PASS,PASS,PASS,PASS
2,14576358,20000000,935,989,0.3423,0.1408,0.0578,0.000822,1.6,2.49,2012-01-22,k3OveNk,"add(trade_when(oth460_1l_ccns<=0.5, vector_neut(ts_zscore(ts_backfill(anl69_cpss_best_eeps_nxt_yr, 21),21), group_zscore(ts_ir(returns, 252), industry)), oth460_1l_ccns>0.5), trade_when(oth460_1l_acda<=0.5, vector_neut(ts_zscore(ts_backfill(anl69_cps_best_eeps_nxt_yr, 21),21), group_zscore(ts_ir(returns, 252), industry)), oth460_1l_acda>0.5), filter = false)",PASS,PASS,PASS,PASS,PASS,PASS,PASS
3,15530938,20000000,1125,1137,0.4315,0.15,0.0563,0.000695,1.54,2.62,2012-01-22,roV9mgo,"add(trade_when(oth460_1l_acda<=0.5, vector_neut(ts_zscore(ts_backfill(anl69_cps_best_eeps_nxt_yr, 21),21), group_zscore(ts_ir(returns, 252), industry)), oth460_1l_acda>0.5), trade_when(oth460_1l_m3r_mtn_spb_se<=0.5, regression_neut(ts_zscore(ts_backfill(anl69_cpss_best_eeps_nxt_yr, 21),21), group_zscore(ts_ir(returns, 252), industry)), oth460_1l_m3r_mtn_spb_se>0.5), filter = false)",PASS,PASS,PASS,PASS,PASS,PASS,PASS
4,16908542,20000000,1030,1071,0.4707,0.1633,0.067,0.000694,1.48,2.51,2012-01-22,EwLNb7m,"add(trade_when(oth460_es_ebit_fy1_d1m_l1<=0.5, regression_neut(ts_zscore(ts_backfill(anl69_cpss_best_eeps_nxt_yr, 21),21), group_zscore(ts_ir(returns, 252), industry)), oth460_es_ebit_fy1_d1m_l1>0.5), trade_when(oth460_1l_m3r_mtn_spb_se<=0.5, regression_neut(ts_zscore(ts_backfill(anl69_cps_best_eeps_cur_yr, 21),21), group_zscore(ts_ir(returns, 252), industry)), oth460_1l_m3r_mtn_spb_se>0.5), filter = false)",PASS,PASS,PASS,PASS,PASS,PASS,PASS
5,17363058,20000000,817,827,0.4897,0.1677,0.0757,0.000685,1.46,2.49,2012-01-22,lV9ERan,"add(trade_when(oth460_1l_m3r_mtn_spb_se<=0.5, regression_neut(ts_zscore(ts_backfill(anl69_cps_best_eeps_cur_yr, 21),21), group_zscore(ts_ir(returns, 252), industry)), oth460_1l_m3r_mtn_spb_se>0.5), trade_when(oth460_1l_fbds<=0.5, vector_neut(ts_zscore(ts_backfill(anl69_cpss_best_eeps_nxt_yr, 21),21), group_zscore(ts_ir(returns, 252), industry)), oth460_1l_fbds>0.5), filter = false)",PASS,PASS,PASS,PASS,PASS,PASS,PASS
6,15520977,20000000,935,933,0.4896,0.1499,0.074,0.000612,1.45,2.62,2012-01-22,z90gz11,"add(trade_when(oth460_1l_m3r_mtn_spb_se<=0.5, regression_neut(ts_zscore(ts_backfill(anl69_cpss_best_eeps_nxt_yr, 21),21), group_zscore(ts_ir(returns, 252), industry)), oth460_1l_m3r_mtn_spb_se>0.5), trade_when(oth460_1l_fbds<=0.5, regression_neut(ts_zscore(ts_backfill(anl69_cpss_best_eeps_nxt_yr, 21),21), group_zscore(ts_ir(returns, 252), industry)), oth460_1l_fbds>0.5), filter = false)",PASS,PASS,PASS,PASS,PASS,PASS,PASS
7,15752827,20000000,925,927,0.4829,0.1521,0.0636,0.00063,1.45,2.59,2012-01-22,ngQmo9M,"add(trade_when(oth460_1l_m3r_mtn_spb_se<=0.5, vector_neut(ts_zscore(ts_backfill(anl69_cpss_best_eeps_nxt_yr, 21),21), group_zscore(ts_ir(returns, 252), industry)), oth460_1l_m3r_mtn_spb_se>0.5), trade_when(oth460_1l_fbbs<=0.5, regression_neut(ts_zscore(ts_backfill(anl69_cpss_best_eeps_nxt_yr, 21),21), group_zscore(ts_ir(returns, 252), industry)), oth460_1l_fbbs>0.5), filter = false)",PASS,PASS,PASS,PASS,PASS,PASS,PASS
8,15590387,20000000,933,934,0.4854,0.1505,0.0696,0.00062,1.43,2.57,2012-01-22,Vp5Zog5,"add(trade_when(oth460_1l_fbds<=0.5, regression_neut(ts_zscore(ts_backfill(anl69_cpss_best_eeps_nxt_yr, 21),21), group_zscore(ts_ir(returns, 252), industry)), oth460_1l_fbds>0.5), trade_when(oth460_1l_m3r_mtn_spb_se<=0.5, vector_neut(ts_zscore(ts_backfill(anl69_cpss_best_eeps_nxt_yr, 21),21), group_zscore(ts_ir(returns, 252), industry)), oth460_1l_m3r_mtn_spb_se>0.5), filter = false)",PASS,PASS,PASS,PASS,PASS,PASS,PASS
9,13636405,20000000,1322,1377,0.4321,0.1317,0.0699,0.00061,1.32,2.39,2012-01-22,MpZdXOr,"add(trade_when(oth460_1l_fbbs<=0.5, regression_neut(ts_zscore(ts_backfill(anl69_cpss_best_eeps_nxt_yr, 21),21), group_zscore(ts_ir(returns, 252), industry)), oth460_1l_fbbs>0.5), trade_when(oth460_es_ebit_fy1_d1m_l1<=0.5, regression_neut(ts_zscore(ts_backfill(anl69_cpss_best_eeps_nxt_yr, 21),21), group_zscore(ts_ir(returns, 252), industry)), oth460_es_ebit_fy1_d1m_l1>0.5), filter = false)",PASS,PASS,PASS,PASS,PASS,PASS,PASS
