,pnl,book_size,long_count,short_count,turnover,returns,drawdown,margin,fitness,sharpe,start_date,alpha_id,expression,concentrated_weight,high_turnover,is_ladder_sharpe,low_fitness,low_sharpe,low_sub_universe_sharpe,low_turnover
0,21040361,20000000,812,815,0.5018,0.2032,0.0545,0.00081,2.1,3.3,2012-01-22,RpPkgOo,"pro_A_0 = oth460_1l_acda;stock_A_0 = ts_zscore(ts_backfill(anl69_cps_best_eeps_nxt_yr, 21),21);factor_A_0 = group_zscore(ts_ir(returns, 252), industry);alpha_A_0 = regression_neut(stock_A_0, factor_A_0);signal_A_0 = trade_when(pro_A_0<=0.5, alpha_A_0, pro_A_0>0.5);entry_B_1 = ts_rank( ts_std_dev(oth460_1l_1dls, 21), 252 ); maintenance_B_1 = -ts_regression(rsk70_mfm2_gemtrd_srtindcnt, ts_delay(rsk70_mfm2_gemtrd_anlystsn, 1), 252); quit_B_1 = entry_B_1 < 0.5;signal_B_1 =  trade_when(entry_B_1>0.55, maintenance_B_1, quit_B_1);add(scale_down(signal_A_0), scale_down(signal_B_1), filter = false)",PASS,PASS,PASS,PASS,PASS,PASS,PASS
1,24162755,20000000,620,620,0.6804,0.2333,0.0745,0.000686,2.06,3.51,2012-01-22,ro8JqWo,"pro_A_4 = oth460_1l_m3r_mtn_spb_se;stock_A_4 = ts_zscore(ts_backfill(anl69_cpss_best_eeps_nxt_yr, 21),21);factor_A_4 = group_zscore(ts_ir(returns, 252), industry);alpha_A_4 = regression_neut(stock_A_4, factor_A_4);signal_A_4 = trade_when(pro_A_4<=0.5, alpha_A_4, pro_A_4>0.5);entry_B_0 = ts_rank( ts_std_dev(oth460_3l_vlc, 21), 252 ); maintenance_B_0 = -ts_regression(rsk70_mfm2_gemtrd_srtindcnt, ts_delay(rsk70_mfm2_gemtrd_anlystsn, 1), 252); quit_B_0 = entry_B_0 < 0.5;signal_B_0 =  trade_when(entry_B_0>0.55, maintenance_B_0, quit_B_0);add(scale_down(signal_A_4), scale_down(signal_B_0), filter = false)",PASS,PASS,PASS,PASS,PASS,PASS,PASS
2,20752506,20000000,810,818,0.4829,0.2004,0.0589,0.00083,2.04,3.16,2012-01-22,9wkax79,"pro_A_3 = oth460_1l_acda;stock_A_3 = ts_zscore(ts_backfill(anl69_cps_best_eeps_nxt_yr, 21),21);factor_A_3 = group_zscore(ts_ir(returns, 252), industry);alpha_A_3 = vector_neut(stock_A_3, factor_A_3);signal_A_3 = trade_when(pro_A_3<=0.5, alpha_A_3, pro_A_3>0.5);entry_B_1 = ts_rank( ts_std_dev(oth460_1l_1dls, 21), 252 ); maintenance_B_1 = -ts_regression(rsk70_mfm2_gemtrd_srtindcnt, ts_delay(rsk70_mfm2_gemtrd_anlystsn, 1), 252); quit_B_1 = entry_B_1 < 0.5;signal_B_1 =  trade_when(entry_B_1>0.55, maintenance_B_1, quit_B_1);add(scale_down(signal_A_3), scale_down(signal_B_1), filter = false)",PASS,PASS,PASS,PASS,PASS,PASS,PASS
3,21655819,20000000,498,510,0.516,0.2091,0.0596,0.000811,2.01,3.16,2012-01-22,7wlKqXv,"pro_A_1 = oth460_1l_ccns;stock_A_1 = ts_zscore(ts_backfill(anl69_cpss_best_eeps_nxt_yr, 21),21);factor_A_1 = group_zscore(ts_ir(returns, 252), industry);alpha_A_1 = regression_neut(stock_A_1, factor_A_1);signal_A_1 = trade_when(pro_A_1<=0.5, alpha_A_1, pro_A_1>0.5);entry_B_1 = ts_rank( ts_std_dev(oth460_1l_1dls, 21), 252 ); maintenance_B_1 = -ts_regression(rsk70_mfm2_gemtrd_srtindcnt, ts_delay(rsk70_mfm2_gemtrd_anlystsn, 1), 252); quit_B_1 = entry_B_1 < 0.5;signal_B_1 =  trade_when(entry_B_1>0.55, maintenance_B_1, quit_B_1);add(scale_down(signal_A_1), scale_down(signal_B_1), filter = false)",PASS,PASS,PASS,PASS,PASS,PASS,PASS
4,21412434,20000000,496,512,0.4988,0.2068,0.0695,0.000829,1.97,3.06,2012-01-22,5wYaMWJ,"pro_A_2 = oth460_1l_ccns;stock_A_2 = ts_zscore(ts_backfill(anl69_cpss_best_eeps_nxt_yr, 21),21);factor_A_2 = group_zscore(ts_ir(returns, 252), industry);alpha_A_2 = vector_neut(stock_A_2, factor_A_2);signal_A_2 = trade_when(pro_A_2<=0.5, alpha_A_2, pro_A_2>0.5);entry_B_1 = ts_rank( ts_std_dev(oth460_1l_1dls, 21), 252 ); maintenance_B_1 = -ts_regression(rsk70_mfm2_gemtrd_srtindcnt, ts_delay(rsk70_mfm2_gemtrd_anlystsn, 1), 252); quit_B_1 = entry_B_1 < 0.5;signal_B_1 =  trade_when(entry_B_1>0.55, maintenance_B_1, quit_B_1);add(scale_down(signal_A_2), scale_down(signal_B_1), filter = false)",PASS,PASS,PASS,PASS,PASS,PASS,PASS
5,20891285,20000000,867,870,0.5687,0.2017,0.08,0.000709,1.97,3.3,2012-01-22,z9eJw5K,"pro_A_0 = oth460_1l_acda;stock_A_0 = ts_zscore(ts_backfill(anl69_cps_best_eeps_nxt_yr, 21),21);factor_A_0 = group_zscore(ts_ir(returns, 252), industry);alpha_A_0 = regression_neut(stock_A_0, factor_A_0);signal_A_0 = trade_when(pro_A_0<=0.5, alpha_A_0, pro_A_0>0.5);entry_B_0 = ts_rank( ts_std_dev(oth460_3l_vlc, 21), 252 ); maintenance_B_0 = -ts_regression(rsk70_mfm2_gemtrd_srtindcnt, ts_delay(rsk70_mfm2_gemtrd_anlystsn, 1), 252); quit_B_0 = entry_B_0 < 0.5;signal_B_0 =  trade_when(entry_B_0>0.55, maintenance_B_0, quit_B_0);add(scale_down(signal_A_0), scale_down(signal_B_0), filter = false)",PASS,PASS,PASS,PASS,PASS,PASS,PASS
6,22616101,20000000,373,380,0.5187,0.2184,0.08,0.000842,1.95,3.01,2012-01-22,vLPe0wa,"pro_A_1 = oth460_1l_ccns;stock_A_1 = ts_zscore(ts_backfill(anl69_cpss_best_eeps_nxt_yr, 21),21);factor_A_1 = group_zscore(ts_ir(returns, 252), industry);alpha_A_1 = regression_neut(stock_A_1, factor_A_1);signal_A_1 = trade_when(pro_A_1<=0.5, alpha_A_1, pro_A_1>0.5);entry_B_2 = ts_rank( ts_std_dev(oth460_1l_aiec, 21), 252 ); maintenance_B_2 = -ts_regression(rsk70_mfm2_gemtrd_srtindcnt, ts_delay(rsk70_mfm2_gemtrd_anlystsn, 1), 252); quit_B_2 = entry_B_2 < 0.5;signal_B_2 =  trade_when(entry_B_2>0.55, maintenance_B_2, quit_B_2);add(scale_down(signal_A_1), scale_down(signal_B_2), filter = false)",PASS,PASS,PASS,PASS,PASS,PASS,PASS
7,21744919,20000000,614,613,0.509,0.21,0.0695,0.000825,1.94,3.02,2012-01-22,oKZ9ddJ,"pro_A_0 = oth460_1l_acda;stock_A_0 = ts_zscore(ts_backfill(anl69_cps_best_eeps_nxt_yr, 21),21);factor_A_0 = group_zscore(ts_ir(returns, 252), industry);alpha_A_0 = regression_neut(stock_A_0, factor_A_0);signal_A_0 = trade_when(pro_A_0<=0.5, alpha_A_0, pro_A_0>0.5);entry_B_2 = ts_rank( ts_std_dev(oth460_1l_aiec, 21), 252 ); maintenance_B_2 = -ts_regression(rsk70_mfm2_gemtrd_srtindcnt, ts_delay(rsk70_mfm2_gemtrd_anlystsn, 1), 252); quit_B_2 = entry_B_2 < 0.5;signal_B_2 =  trade_when(entry_B_2>0.55, maintenance_B_2, quit_B_2);add(scale_down(signal_A_0), scale_down(signal_B_2), filter = false)",PASS,PASS,PASS,PASS,PASS,PASS,PASS
8,22431915,20000000,371,380,0.5013,0.2166,0.0714,0.000864,1.93,2.94,2012-01-22,5wYq766,"pro_A_2 = oth460_1l_ccns;stock_A_2 = ts_zscore(ts_backfill(anl69_cpss_best_eeps_nxt_yr, 21),21);factor_A_2 = group_zscore(ts_ir(returns, 252), industry);alpha_A_2 = vector_neut(stock_A_2, factor_A_2);signal_A_2 = trade_when(pro_A_2<=0.5, alpha_A_2, pro_A_2>0.5);entry_B_2 = ts_rank( ts_std_dev(oth460_1l_aiec, 21), 252 ); maintenance_B_2 = -ts_regression(rsk70_mfm2_gemtrd_srtindcnt, ts_delay(rsk70_mfm2_gemtrd_anlystsn, 1), 252); quit_B_2 = entry_B_2 < 0.5;signal_B_2 =  trade_when(entry_B_2>0.55, maintenance_B_2, quit_B_2);add(scale_down(signal_A_2), scale_down(signal_B_2), filter = false)",PASS,PASS,PASS,PASS,PASS,PASS,PASS
9,20570305,20000000,865,873,0.5481,0.1986,0.0837,0.000725,1.89,3.14,2012-01-22,YpY210v,"pro_A_3 = oth460_1l_acda;stock_A_3 = ts_zscore(ts_backfill(anl69_cps_best_eeps_nxt_yr, 21),21);factor_A_3 = group_zscore(ts_ir(returns, 252), industry);alpha_A_3 = vector_neut(stock_A_3, factor_A_3);signal_A_3 = trade_when(pro_A_3<=0.5, alpha_A_3, pro_A_3>0.5);entry_B_0 = ts_rank( ts_std_dev(oth460_3l_vlc, 21), 252 ); maintenance_B_0 = -ts_regression(rsk70_mfm2_gemtrd_srtindcnt, ts_delay(rsk70_mfm2_gemtrd_anlystsn, 1), 252); quit_B_0 = entry_B_0 < 0.5;signal_B_0 =  trade_when(entry_B_0>0.55, maintenance_B_0, quit_B_0);add(scale_down(signal_A_3), scale_down(signal_B_0), filter = false)",PASS,PASS,PASS,PASS,PASS,PASS,PASS
