,pnl,book_size,long_count,short_count,turnover,returns,drawdown,margin,fitness,sharpe,start_date,alpha_id,expression,concentrated_weight,high_turnover,is_ladder_sharpe,low_fitness,low_sharpe,low_sub_universe_sharpe,low_turnover
10,19551384,20000000,1913,1869,0.6555,0.1888,0.0638,0.000576,1.57,2.93,2012-01-22,OpVXKM7,"entry_B_5 = ts_rank( ts_std_dev(oth460_1l_1dls, 21), 252 ); maintenance_B_5 = -ts_regression(rsk70_mfm2_gemtrd_srtindcnt, ts_delay(rsk70_mfm2_gemtrd_srtindcnt, 1), 252); quit_B_5 = entry_B_5 < 0.5;signal_B_5 =  trade_when(entry_B_5>0.55, maintenance_B_5, quit_B_5);signal_B_5",PASS,PASS,PASS,PASS,PASS,PASS,PASS
11,19985065,20000000,1825,1797,0.652,0.193,0.0755,0.000592,1.57,2.89,2012-01-22,m81Wqmx,"entry_B_17 = ts_rank( ts_std_dev(oth460_1l_2dls, 21), 252 ); maintenance_B_17 = -ts_regression(rsk70_mfm2_gemtrd_srtindcnt, ts_delay(rsk70_mfm2_gemtrd_size, 1), 252); quit_B_17 = entry_B_17 < 0.5;signal_B_17 =  trade_when(entry_B_17>0.55, maintenance_B_17, quit_B_17);signal_B_17",PASS,PASS,PASS,PASS,PASS,PASS,PASS
12,18927469,20000000,1679,1619,0.8222,0.1828,0.0676,0.000445,1.55,3.29,2012-01-22,ZpMvlvn,"entry_B_11 = ts_rank( ts_std_dev(oth460_clv_class, 21), 252 ); maintenance_B_11 = -ts_regression(rsk70_mfm2_gemtrd_srtindcnt, ts_delay(rsk70_mfm2_gemtrd_anlystsn, 1), 252); quit_B_11 = entry_B_11 < 0.5;signal_B_11 =  trade_when(entry_B_11>0.55, maintenance_B_11, quit_B_11);signal_B_11",PASS,FAIL,PASS,PASS,PASS,PASS,PASS
13,20383020,20000000,1835,1817,0.6682,0.1968,0.0723,0.000589,1.54,2.83,2012-01-22,Vp5bXxw,"entry_B_13 = ts_rank( ts_std_dev(oth460_veia_l2, 21), 252 ); maintenance_B_13 = -ts_regression(rsk70_mfm2_gemtrd_srtindcnt, ts_delay(rsk70_mfm2_gemtrd_size, 1), 252); quit_B_13 = entry_B_13 < 0.5;signal_B_13 =  trade_when(entry_B_13>0.55, maintenance_B_13, quit_B_13);signal_B_13",PASS,PASS,PASS,PASS,PASS,PASS,PASS
14,21350944,20000000,1399,1373,0.6682,0.2062,0.0938,0.000617,1.5,2.7,2012-01-22,EwLPKeG,"entry_B_19 = ts_rank( ts_std_dev(oth460_1l_aiec, 21), 252 ); maintenance_B_19 = -ts_regression(rsk70_mfm2_gemtrd_srtindcnt, ts_delay(rsk70_mfm2_gemtrd_size, 1), 252); quit_B_19 = entry_B_19 < 0.5;signal_B_19 =  trade_when(entry_B_19>0.55, maintenance_B_19, quit_B_19);signal_B_19",PASS,PASS,PASS,PASS,PASS,PASS,PASS
15,18737388,20000000,1819,1789,0.6661,0.1809,0.0659,0.000543,1.46,2.81,2012-01-22,LprYn5m,"entry_B_12 = ts_rank( ts_std_dev(oth460_1l_1dls, 21), 252 ); maintenance_B_12 = -ts_regression(rsk70_mfm2_gemtrd_srtindcnt, ts_delay(rsk70_mfm2_gemtrd_size, 1), 252); quit_B_12 = entry_B_12 < 0.5;signal_B_12 =  trade_when(entry_B_12>0.55, maintenance_B_12, quit_B_12);signal_B_12",PASS,PASS,PASS,PASS,PASS,PASS,PASS
16,18316049,20000000,1752,1682,0.8063,0.1769,0.0546,0.000439,1.44,3.08,2012-01-22,g1dV3M0,"entry_B_18 = ts_rank( ts_std_dev(oth460_clv_class, 21), 252 ); maintenance_B_18 = -ts_regression(rsk70_mfm2_gemtrd_srtindcnt, ts_delay(rsk70_mfm2_gemtrd_srtindcnt, 1), 252); quit_B_18 = entry_B_18 < 0.5;signal_B_18 =  trade_when(entry_B_18>0.55, maintenance_B_18, quit_B_18);signal_B_18",PASS,FAIL,PASS,PASS,PASS,PASS,PASS
17,18169146,20000000,1688,1631,0.8208,0.1754,0.0628,0.000427,1.43,3.09,2012-01-22,eOvZr3g,"entry_B_20 = ts_rank( ts_std_dev(oth460_clv_class, 21), 252 ); maintenance_B_20 = -ts_regression(rsk70_mfm2_gemtrd_srtindcnt, ts_delay(rsk70_mfm2_gemtrd_size, 1), 252); quit_B_20 = entry_B_20 < 0.5;signal_B_20 =  trade_when(entry_B_20>0.55, maintenance_B_20, quit_B_20);signal_B_20",PASS,FAIL,PASS,PASS,PASS,PASS,PASS
18,20077741,20000000,891,869,0.6506,0.1939,0.0909,0.000596,1.38,2.53,2012-01-22,KbQM8pN,"entry_B_9 = ts_rank( ts_std_dev(oth460_fprd_class, 21), 252 ); maintenance_B_9 = -ts_regression(rsk70_mfm2_gemtrd_srtindcnt, ts_delay(rsk70_mfm2_gemtrd_anlystsn, 1), 252); quit_B_9 = entry_B_9 < 0.5;signal_B_9 =  trade_when(entry_B_9>0.55, maintenance_B_9, quit_B_9);signal_B_9",PASS,PASS,FAIL,PASS,PASS,PASS,PASS
19,18384488,20000000,1766,1747,0.6634,0.1775,0.0693,0.000535,1.33,2.57,2012-01-22,m81WqoW,"entry_B_14 = ts_rank( ts_std_dev(oth460_1l_ccns, 21), 252 ); maintenance_B_14 = -ts_regression(rsk70_mfm2_gemtrd_srtindcnt, ts_delay(rsk70_mfm2_gemtrd_anlystsn, 1), 252); quit_B_14 = entry_B_14 < 0.5;signal_B_14 =  trade_when(entry_B_14>0.55, maintenance_B_14, quit_B_14);signal_B_14",PASS,PASS,PASS,PASS,PASS,PASS,PASS
20,18201409,20000000,1933,1912,0.6532,0.1758,0.0677,0.000538,1.3,2.51,2012-01-22,roVMb5d,"entry_B_16 = ts_rank( ts_std_dev(oth460_1l_ccns, 21), 252 ); maintenance_B_16 = -ts_regression(rsk70_mfm2_gemtrd_srtindcnt, ts_delay(rsk70_mfm2_gemtrd_srtindcnt, 1), 252); quit_B_16 = entry_B_16 < 0.5;signal_B_16 =  trade_when(entry_B_16>0.55, maintenance_B_16, quit_B_16);signal_B_16",PASS,PASS,PASS,PASS,PASS,PASS,PASS
21,17218925,20000000,1840,1832,0.6617,0.1663,0.0731,0.000503,1.17,2.34,2012-01-22,Np3lb6q,"entry_B_21 = ts_rank( ts_std_dev(oth460_1l_ccns, 21), 252 ); maintenance_B_21 = -ts_regression(rsk70_mfm2_gemtrd_srtindcnt, ts_delay(rsk70_mfm2_gemtrd_size, 1), 252); quit_B_21 = entry_B_21 < 0.5;signal_B_21 =  trade_when(entry_B_21>0.55, maintenance_B_21, quit_B_21);signal_B_21",PASS,PASS,FAIL,PASS,PASS,PASS,PASS
22,18010798,20000000,957,931,0.6397,0.1739,0.1328,0.000544,1.14,2.18,2012-01-22,5wedp6o,"entry_B_22 = ts_rank( ts_std_dev(oth460_fprd_class, 21), 252 ); maintenance_B_22 = -ts_regression(rsk70_mfm2_gemtrd_srtindcnt, ts_delay(rsk70_mfm2_gemtrd_srtindcnt, 1), 252); quit_B_22 = entry_B_22 < 0.5;signal_B_22 =  trade_when(entry_B_22>0.55, maintenance_B_22, quit_B_22);signal_B_22",PASS,PASS,FAIL,PASS,PASS,PASS,PASS
23,17872908,20000000,910,894,0.6479,0.1726,0.1134,0.000533,1.11,2.15,2012-01-22,9wmOp62,"entry_B_23 = ts_rank( ts_std_dev(oth460_fprd_class, 21), 252 ); maintenance_B_23 = -ts_regression(rsk70_mfm2_gemtrd_srtindcnt, ts_delay(rsk70_mfm2_gemtrd_size, 1), 252); quit_B_23 = entry_B_23 < 0.5;signal_B_23 =  trade_when(entry_B_23>0.55, maintenance_B_23, quit_B_23);signal_B_23",PASS,PASS,FAIL,PASS,PASS,PASS,PASS
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
