,pnl,book_size,long_count,short_count,turnover,returns,drawdown,margin,fitness,sharpe,start_date,alpha_id,expression,concentrated_weight,high_turnover,is_ladder_sharpe,low_fitness,low_sharpe,low_sub_universe_sharpe,low_turnover
0,20718944,20000000,1855,1801,0.7721,0.2001,0.0676,0.000518,1.81,3.56,2012-01-22,ZpMvYwn,"entry_B_0 = ts_rank( ts_std_dev(oth460_3l_vlc, 21), 252 ); maintenance_B_0 = -ts_regression(rsk70_mfm2_gemtrd_srtindcnt, ts_delay(rsk70_mfm2_gemtrd_anlystsn, 1), 252); quit_B_0 = entry_B_0 < 0.5;signal_B_0 =  trade_when(entry_B_0>0.55, maintenance_B_0, quit_B_0);signal_B_0",PASS,FAIL,PASS,PASS,PASS,PASS,PASS
1,22939333,20000000,1325,1294,0.669,0.2215,0.0786,0.000662,1.8,3.12,2012-01-22,5wed8nz,"entry_B_2 = ts_rank( ts_std_dev(oth460_1l_aiec, 21), 252 ); maintenance_B_2 = -ts_regression(rsk70_mfm2_gemtrd_srtindcnt, ts_delay(rsk70_mfm2_gemtrd_anlystsn, 1), 252); quit_B_2 = entry_B_2 < 0.5;signal_B_2 =  trade_when(entry_B_2>0.55, maintenance_B_2, quit_B_2);signal_B_2",PASS,PASS,PASS,PASS,PASS,PASS,PASS
2,20533479,20000000,1748,1713,0.667,0.1983,0.0704,0.000595,1.73,3.17,2012-01-22,oKr01Xm,"entry_B_1 = ts_rank( ts_std_dev(oth460_1l_1dls, 21), 252 ); maintenance_B_1 = -ts_regression(rsk70_mfm2_gemtrd_srtindcnt, ts_delay(rsk70_mfm2_gemtrd_anlystsn, 1), 252); quit_B_1 = entry_B_1 < 0.5;signal_B_1 =  trade_when(entry_B_1>0.55, maintenance_B_1, quit_B_1);signal_B_1",PASS,PASS,PASS,PASS,PASS,PASS,PASS
3,20669761,20000000,1753,1715,0.6538,0.1996,0.0712,0.000611,1.7,3.07,2012-01-22,k3O659z,"entry_B_6 = ts_rank( ts_std_dev(oth460_1l_2dls, 21), 252 ); maintenance_B_6 = -ts_regression(rsk70_mfm2_gemtrd_srtindcnt, ts_delay(rsk70_mfm2_gemtrd_anlystsn, 1), 252); quit_B_6 = entry_B_6 < 0.5;signal_B_6 =  trade_when(entry_B_6>0.55, maintenance_B_6, quit_B_6);signal_B_6",PASS,PASS,PASS,PASS,PASS,PASS,PASS
4,21079984,20000000,1759,1732,0.6689,0.2036,0.0669,0.000609,1.7,3.08,2012-01-22,Pp8mjxK,"entry_B_3 = ts_rank( ts_std_dev(oth460_veia_l2, 21), 252 ); maintenance_B_3 = -ts_regression(rsk70_mfm2_gemtrd_srtindcnt, ts_delay(rsk70_mfm2_gemtrd_anlystsn, 1), 252); quit_B_3 = entry_B_3 < 0.5;signal_B_3 =  trade_when(entry_B_3>0.55, maintenance_B_3, quit_B_3);signal_B_3",PASS,PASS,PASS,PASS,PASS,PASS,PASS
5,20196622,20000000,2040,1976,0.7542,0.195,0.055,0.000517,1.7,3.34,2012-01-22,jZxKNPQ,"entry_B_4 = ts_rank( ts_std_dev(oth460_3l_vlc, 21), 252 ); maintenance_B_4 = -ts_regression(rsk70_mfm2_gemtrd_srtindcnt, ts_delay(rsk70_mfm2_gemtrd_srtindcnt, 1), 252); quit_B_4 = entry_B_4 < 0.5;signal_B_4 =  trade_when(entry_B_4>0.55, maintenance_B_4, quit_B_4);signal_B_4",PASS,FAIL,PASS,PASS,PASS,PASS,PASS
6,20698499,20000000,1920,1873,0.6422,0.1999,0.0593,0.000622,1.68,3.01,2012-01-22,Gwx58NZ,"entry_B_10 = ts_rank( ts_std_dev(oth460_1l_2dls, 21), 252 ); maintenance_B_10 = -ts_regression(rsk70_mfm2_gemtrd_srtindcnt, ts_delay(rsk70_mfm2_gemtrd_srtindcnt, 1), 252); quit_B_10 = entry_B_10 < 0.5;signal_B_10 =  trade_when(entry_B_10>0.55, maintenance_B_10, quit_B_10);signal_B_10",PASS,PASS,PASS,PASS,PASS,PASS,PASS
7,21058424,20000000,1931,1897,0.6586,0.2033,0.0711,0.000618,1.63,2.93,2012-01-22,EwLPAMr,"entry_B_8 = ts_rank( ts_std_dev(oth460_veia_l2, 21), 252 ); maintenance_B_8 = -ts_regression(rsk70_mfm2_gemtrd_srtindcnt, ts_delay(rsk70_mfm2_gemtrd_srtindcnt, 1), 252); quit_B_8 = entry_B_8 < 0.5;signal_B_8 =  trade_when(entry_B_8>0.55, maintenance_B_8, quit_B_8);signal_B_8",PASS,PASS,PASS,PASS,PASS,PASS,PASS
8,19562680,20000000,1938,1890,0.7681,0.1889,0.0607,0.000492,1.61,3.25,2012-01-22,Vp5boR0,"entry_B_7 = ts_rank( ts_std_dev(oth460_3l_vlc, 21), 252 ); maintenance_B_7 = -ts_regression(rsk70_mfm2_gemtrd_srtindcnt, ts_delay(rsk70_mfm2_gemtrd_size, 1), 252); quit_B_7 = entry_B_7 < 0.5;signal_B_7 =  trade_when(entry_B_7>0.55, maintenance_B_7, quit_B_7);signal_B_7",PASS,FAIL,PASS,PASS,PASS,PASS,PASS
9,21851445,20000000,1481,1444,0.6593,0.211,0.0867,0.00064,1.58,2.8,2012-01-22,MpZNb7r,"entry_B_15 = ts_rank( ts_std_dev(oth460_1l_aiec, 21), 252 ); maintenance_B_15 = -ts_regression(rsk70_mfm2_gemtrd_srtindcnt, ts_delay(rsk70_mfm2_gemtrd_srtindcnt, 1), 252); quit_B_15 = entry_B_15 < 0.5;signal_B_15 =  trade_when(entry_B_15>0.55, maintenance_B_15, quit_B_15);signal_B_15",PASS,PASS,PASS,PASS,PASS,PASS,PASS
