,pnl,book_size,long_count,short_count,turnover,returns,drawdown,margin,fitness,sharpe,start_date,alpha_id,expression,concentrated_weight,high_turnover,low_fitness,low_sharpe,low_sub_universe_sharpe,low_turnover
10,11785344,20000000,1400,1429,0.3973,0.1138,0.1044,0.000573,1.17,2.18,2012-01-22,lV9nxx8,"pro_A_24 = oth460_1l_fbbs;stock_A_24 = ts_zscore(ts_backfill(anl69_cps_best_eeps_cur_yr, 21),21);factor_A_24 = group_zscore(ts_ir(returns, 252), industry);alpha_A_24 = regression_neut(stock_A_24, factor_A_24);signal_A_24 = trade_when(pro_A_24<=0.5, alpha_A_24, pro_A_24>0.5);pro_A_25 = oth460_1l_fbds;stock_A_25 = ts_zscore(ts_backfill(anl69_cps_best_eeps_cur_yr, 21),21);factor_A_25 = group_zscore(ts_ir(returns, 252), industry);alpha_A_25 = vector_neut(stock_A_25, factor_A_25);signal_A_25 = trade_when(pro_A_25<=0.5, alpha_A_25, pro_A_25>0.5);zscore(add(signal_A_24, signal_A_25, filter = false))",PASS,PASS,PASS,PASS,PASS,PASS
11,14042107,20000000,802,883,0.5149,0.1356,0.077,0.000527,1.08,2.1,2012-01-22,375KdYe,"pro_A_20 = oth460_1l_m1r_1yf_spe_se;stock_A_20 = ts_zscore(ts_backfill(anl69_cpss_best_eeps_nxt_yr, 21),21);factor_A_20 = group_zscore(ts_ir(returns, 252), industry);alpha_A_20 = regression_neut(stock_A_20, factor_A_20);signal_A_20 = trade_when(pro_A_20<=0.5, alpha_A_20, pro_A_20>0.5);pro_A_21 = oth460_1l_fbds;stock_A_21 = ts_zscore(ts_backfill(anl69_cps_best_eeps_cur_yr, 21),21);factor_A_21 = group_zscore(ts_ir(returns, 252), industry);alpha_A_21 = regression_neut(stock_A_21, factor_A_21);signal_A_21 = trade_when(pro_A_21<=0.5, alpha_A_21, pro_A_21>0.5);zscore(add(signal_A_20, signal_A_21, filter = false))",PASS,PASS,PASS,PASS,PASS,PASS
12,13131491,20000000,1052,1183,0.4751,0.1268,0.0751,0.000534,1.01,1.96,2012-01-22,Awmp6Yd,"pro_A_22 = oth460_es_ebit_fy1_d1m_l1;stock_A_22 = ts_zscore(ts_backfill(anl69_cps_best_eeps_cur_yr, 21),21);factor_A_22 = group_zscore(ts_ir(returns, 252), industry);alpha_A_22 = regression_neut(stock_A_22, factor_A_22);signal_A_22 = trade_when(pro_A_22<=0.5, alpha_A_22, pro_A_22>0.5);pro_A_23 = oth460_1l_m1r_1yf_spe_se;stock_A_23 = ts_zscore(ts_backfill(anl69_cpss_best_eeps_nxt_yr, 21),21);factor_A_23 = group_zscore(ts_ir(returns, 252), industry);alpha_A_23 = vector_neut(stock_A_23, factor_A_23);signal_A_23 = trade_when(pro_A_23<=0.5, alpha_A_23, pro_A_23>0.5);zscore(add(signal_A_22, signal_A_23, filter = false))",PASS,PASS,PASS,PASS,PASS,PASS
13,10498886,20000000,1656,1832,0.3873,0.1014,0.0845,0.000523,0.95,1.85,2012-01-22,OpVLewY,"pro_A_28 = oth460_es_ebit_fy1_d1m_l1;stock_A_28 = ts_zscore(ts_backfill(anl69_cps_best_eeps_cur_yr, 21),21);factor_A_28 = group_zscore(ts_ir(returns, 252), industry);alpha_A_28 = vector_neut(stock_A_28, factor_A_28);signal_A_28 = trade_when(pro_A_28<=0.5, alpha_A_28, pro_A_28>0.5);pro_A_29 = oth460_es_roe_fy1_d1m_l1;stock_A_29 = ts_zscore(ts_backfill(anl69_cps_best_eeps_cur_yr, 21),21);factor_A_29 = group_zscore(ts_ir(returns, 252), industry);alpha_A_29 = vector_neut(stock_A_29, factor_A_29);signal_A_29 = trade_when(pro_A_29<=0.5, alpha_A_29, pro_A_29>0.5);zscore(add(signal_A_28, signal_A_29, filter = false))",PASS,PASS,FAIL,PASS,PASS,PASS
14,10368898,20000000,1272,1365,0.4312,0.1001,0.1109,0.000464,0.85,1.76,2012-01-22,9wmeog1,"pro_A_26 = oth460_1l_fbbs;stock_A_26 = ts_zscore(ts_backfill(anl69_cps_best_eeps_cur_yr, 21),21);factor_A_26 = group_zscore(ts_ir(returns, 252), industry);alpha_A_26 = vector_neut(stock_A_26, factor_A_26);signal_A_26 = trade_when(pro_A_26<=0.5, alpha_A_26, pro_A_26>0.5);pro_A_27 = oth460_es_roe_fy1_d1m_l1;stock_A_27 = ts_zscore(ts_backfill(anl69_cps_best_eeps_cur_yr, 21),21);factor_A_27 = group_zscore(ts_ir(returns, 252), industry);alpha_A_27 = regression_neut(stock_A_27, factor_A_27);signal_A_27 = trade_when(pro_A_27<=0.5, alpha_A_27, pro_A_27>0.5);zscore(add(signal_A_26, signal_A_27, filter = false))",PASS,PASS,FAIL,PASS,PASS,PASS
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
