,id,regular.code,is.pnl,is.margin,is.fitness,is.sharpe,train.pnl,train.margin,train.fitness,train.sharpe
153,Vp0gxG0,"add(0.4228*regression_neut(implied_volatility_mean_180, implied_volatility_put_150), 0.0479*-ts_co_skewness(vec_avg(anl4_eaz2lltv110_prevval), vec_avg(anl4_eaz2lqfv110_prevval), 60), filter=True)",11510797,0.000467,0.91,1.88,7801789.0,0.000442,1.01,2.15
530,KbOmJjE,"-ts_av_diff(put_breakeven_360, 10)",6234422,0.00018,0.43,1.45,4443674.0,0.000182,0.6,1.98
451,Qa3powW,"regression_neut(implied_volatility_mean_180, implied_volatility_put_150)",17251113,0.000441,0.81,1.73,12045933.0,0.000425,0.88,1.92
513,27OVY7b,"trade_when( ts_rank( ts_std_dev(returns, 22), 252 ) > 0.55,  -ts_regression(returns, ts_delay(returns,1), 252), -1 )",9854062,0.000758,1.03,1.67,5877536.0,0.000628,1.08,1.92
475,Ypba5kW,"add(0.7911*regression_proj(correlation_last_360_days_spy, vec_avg(nws12_afterhsz_range)), 0.753*-ts_vector_neut(vec_avg(nws12_afterhsz_range), vec_avg(nws12_prez_volstddev), 180), 0.9482*ts_zscore(implied_volatility_call_120, 60), filter=True)",7164248,0.000189,0.6,1.94,4137664.0,0.000153,0.51,1.86
339,07rAVa8,"add(0.6804*ts_min_diff(news_eps_actual, 180), 0.6731*-ts_vector_neut(vec_avg(nws12_afterhsz_highexcstddev), low, 30), filter=True)",20485678,0.000273,0.57,1.54,15640559.0,0.000277,0.65,1.75
331,xxveXlp,"add(0.2966*regression_neut(implied_volatility_mean_180, implied_volatility_put_150), 0.5622*-arc_cos(news_mins_2_chg), filter=True)",20049790,0.000503,1.0,1.99,10972485.0,0.000382,0.76,1.73
135,37VYgeP,"ts_vector_proj(vec_avg(nws18_sse), rp_css_insider, 10)",10659686,0.000134,0.36,1.38,8488763.0,0.000151,0.47,1.7
258,MpadKLk,"add(0.6646*-ts_corr(news_post_vwap, vec_avg(nws12_mainz_highexcstddev), 10), 0.6299*ts_corr(vec_avg(anl4_basicconltv110_median), anl4_gric_high, 250), 0.5123*-ts_vector_neut(vec_avg(anl4_ady_down), anl4_ffo_flag, 180), 0.2521*-ts_vector_proj(news_mins_4_pct_up, vec_avg(nws12_prez_4l), 60), filter=True)",10484448,0.000256,0.4,1.12,6450995.0,0.000225,0.56,1.66
133,WpLVzrG,"-regression_neut(news_high_exc_stddev, vec_avg(nws12_afterhsz_peratio))",14582774,0.000171,0.51,1.74,9057099.0,0.00015,0.45,1.66
334,XpakrJX,"add(0.7194*-min(rp_css_earnings, vec_avg(scl12_alltype_buzzvec)), 0.074*-ts_covariance(news_vol_stddev, vec_avg(nws12_mainz_rangestddev), 30), filter=True)",16100640,0.000313,0.61,1.54,7887282.0,0.000223,0.54,1.62
487,vLrkmL3,"add(0.8144*ts_vector_neut(snt_buzz, snt_social_value, 30), 0.5377*-ts_av_diff(call_breakeven_120, 30), 0.7679*-ts_corr(implied_volatility_mean_60, implied_volatility_put_1080, 60), filter=True)",11557207,0.000373,0.7,1.62,5670010.0,0.000243,0.56,1.62
501,eObrN0O,"ts_zscore(implied_volatility_call_120, 60)",4232917,0.000288,0.68,1.8,2311256.0,0.000217,0.52,1.58
216,17XMxzR,"add(0.2264*ts_co_skewness(vec_avg(nws12_afterhsz_02s), vec_avg(nws12_prez_1s), 30), 0.8772*-regression_neut(news_high_exc_stddev, vec_avg(nws12_afterhsz_mktcap)), filter=True)",20576141,0.00024,0.66,1.91,10836146.0,0.000177,0.47,1.58
361,adx2GE1,"ts_zscore(implied_volatility_call_360, 10)",7020107,0.00013,0.4,1.55,4650122.0,0.000121,0.39,1.57
83,LpMdjre,"add(0.0797*-min(vec_avg(nws12_prez_maxdown), rp_nip_insider), 0.602*ts_vector_neut(vec_avg(nws18_bam), vec_avg(scl12_alltype_buzzvec), 10), filter=True)",15541421,0.000217,0.49,1.5,9269705.0,0.000175,0.46,1.56
422,9wWLMdq,"signal = -ts_vector_proj(vec_avg(nws12_mainz_maxup), vec_avg(nws12_prez_maxdnamt), 250);

group_neutralize(signal, sector)",13040276,0.000211,0.6,1.86,7010249.0,0.000154,0.42,1.53
525,g1QrLXe,"-regression_neut(news_range_stddev, vec_avg(nws12_prez_mov_vol))",10629083,0.000152,0.67,2.44,4197661.0,8.5e-05,0.31,1.53
445,9wj08wq,"-ts_vector_proj(vec_avg(nws12_mainz_maxup), vec_avg(nws12_prez_maxdnamt), 250)",12900293,0.000214,0.61,1.86,6944395.0,0.000157,0.43,1.53
