,id,regular.code,is.pnl,is.margin,is.fitness,is.sharpe,train.pnl,train.margin,train.fitness,train.sharpe
507,bLblokR,"add(0.3425*ts_rank(vec_avg(nws12_prez_result2), 30), 0.2913*-zscore(news_range_stddev), 0.1868*-ts_corr(vec_avg(nws12_afterhsz_range), vec_avg(nws12_prez_eodclose), 250), filter=True)",5221484,0.000104,0.52,2.26,2203514.0,6.2e-05,0.27,1.52
341,vL257Ga,"add(0.3299*-ts_co_skewness(correlation_last_30_days_spy, vec_avg(nws12_prez_allvwap), 180), 0.2569*ts_max_diff(snt_buzz, 5), filter=True)",20059679,0.000462,0.96,2.0,7171856.0,0.000237,0.52,1.52
165,qA0rKx1,"add(0.5826*ts_vector_neut(correlation_last_360_days_spy, vec_avg(nws12_prez_allvwap), 30), 0.0683*-ts_corr(news_tot_ticks, vec_avg(nws12_mainz_atrratio), 5), filter=True)",5599368,0.000159,0.36,1.28,3025871.0,0.000121,0.37,1.52
147,bLOEzPK,"add(0.5094*ts_max_diff(snt_buzz, 5), 0.7153*ts_co_skewness(anl4_netprofit_value, vec_avg(nws12_afterhsz_epsactual), 180), filter=True)",14554647,0.000311,0.68,1.72,6301172.0,0.000191,0.47,1.52
382,WpYr01j,"add(0.8318*-ts_vector_neut(vec_avg(anl4_basicconqfv110_down), vec_avg(anl4_basicconqfv110_numest), 5), 0.1224*-ts_corr(vec_avg(nws12_mainz_eodvwap), vec_avg(nws12_mainz_spylast), 5), filter=True)",5384721,8.7e-05,0.26,1.26,3995948.0,9.2e-05,0.32,1.51
41,p6WEL8j,"add(0.9429*-ts_corr(vec_avg(nws12_mainz_range), vec_avg(nws12_prez_close_vol), 5), 0.9344*-ts_covariance(news_main_vwap, vec_avg(nws12_afterhsz_range), 180), filter=True)",4433056,0.000197,0.46,1.46,2785597.0,0.000173,0.44,1.51
43,adRlgd1,"add(0.2015*ts_covariance(vec_avg(nws12_afterhsz_open_vol), vec_avg(nws12_afterhsz_postvwap), 10), 0.0387*-regression_proj(news_high_exc_stddev, vec_avg(nws12_prez_lowexcstddev)), filter=True)",21595074,0.000411,0.74,1.63,15705093.0,0.00046,0.72,1.51
116,qALgxvK,"add(0.0655*-ts_corr(vec_avg(nws12_afterhsz_prevclose), vec_avg(nws12_mainz_range), 10), 0.2674*-ts_co_skewness(vec_avg(nws12_afterhsz_allticks), vec_avg(nws12_prez_mktcap), 60), 0.5631*-regression_neut(news_high_exc_stddev, vec_avg(nws12_afterhsz_mktcap)), filter=True)",7291702,0.000235,0.63,1.83,3419397.0,0.000165,0.43,1.5
471,dxb9Odx,"add(0.6634*ts_corr(news_ton_low, vec_avg(nws12_afterhsz_provider), 250), 0.0148*ts_av_diff(implied_volatility_put_180, 5), 0.6963*ts_max_diff(snt_buzz, 5), filter=True)",18337816,0.000328,0.83,2.04,6423437.0,0.000169,0.43,1.49
391,Rpe9gWo,"-ts_vector_neut(vec_avg(scl12_alltype_buzzvec), snt_value, 30)",14285957,0.000219,0.45,1.35,8446697.0,0.000182,0.45,1.49
419,Rp51kbd,"regression_neut(implied_volatility_call_720, implied_volatility_put_120)",13318512,0.000387,0.59,1.35,9360609.0,0.000376,0.65,1.49
308,Qa3ERgp,rank(vwap/close),9405900,0.000147,0.35,1.3,5844373.0,0.00013,0.38,1.49
538,Qa3jJOW,"regression_neut(implied_volatility_call_720, implied_volatility_mean_180)",10769375,0.000308,0.48,1.22,8123831.0,0.000328,0.6,1.48
503,adbOWV9,"-ts_corr(news_mov_vol, vec_avg(nws12_prez_mov_vol), 5)",3085173,0.00011,0.29,1.24,2377387.0,0.000121,0.36,1.48
238,Pp2z02E,"add(0.6655*-ts_corr(vec_avg(nws12_mainz_spylast), rp_nip_assets, 10), 0.7037*-ts_vector_proj(news_max_up_amt, vec_avg(nws12_allz_result1), 5), filter=True)",5269470,0.000106,0.27,1.16,3499982.0,0.0001,0.33,1.48
405,XpbM9wm,"-ts_corr(news_tot_ticks, vec_avg(nws12_mainz_atrratio), 5)",4584880,0.000143,0.36,1.33,3150607.0,0.000139,0.39,1.48
285,KbNNppk,"add(0.4602*-ts_vector_proj(vec_avg(nws12_afterhsz_prevday), vec_avg(nws12_afterhsz_rangeamt), 180), 0.4584*-ts_corr(vec_avg(nws12_mainz_mktcap), vec_avg(nws12_prez_mainvwap), 5), 0.4538*-ts_vector_neut(vec_avg(nws12_afterhsz_volstddev), vec_avg(nws12_prez_curr_vol), 30), filter=True)",6598340,0.000156,0.35,1.27,3881273.0,0.00013,0.37,1.46
499,bLbL3Wr,"ts_co_skewness(anl4_ebit_mean, est_ebit, 5)",7196547,0.000144,0.36,1.34,5184626.0,0.000147,0.4,1.46
497,roOl3aE,"ts_vector_neut(implied_volatility_call_1080, implied_volatility_mean_1080, 180)",8527006,0.000363,0.55,1.29,6389357.0,0.000378,0.63,1.46
221,jZA7wPZ,"add(0.207*-min(vec_avg(nws12_afterhsz_41rta), vec_avg(nws12_afterhsz_volstddev)), 0.0127*-ts_vector_neut(vec_avg(anl4_ady_down), vec_avg(anl4_ady_pu), 30), filter=True)",7605346,0.000117,0.37,1.53,4713222.0,9.7e-05,0.32,1.46
9,Qab3OG5,#NAME?,3881020,0.000127,0.32,1.25,2859123.0,0.000134,0.38,1.46
281,roOdpdj,"add(0.5107*-ts_vector_proj(news_mins_7_5_pct_up, vec_avg(nws12_afterhsz_4l), 10), 0.3767*ts_vector_neut(anl4_qf_az_eps_number, vec_avg(nws12_afterhsz_vol_ratio), 30), 0.0105*-ts_theilsen(pcr_vol_150, pcr_vol_180, 5), filter=True)",15141171,0.000299,0.46,1.18,8868906.0,0.000236,0.5,1.46
476,vLrAd7Q,"add(0.3982*-ts_vector_neut(news_low_exc_stddev, news_vol_stddev, 10), 0.1218*-ts_corr(anl4_netprofit_flag, anl4_qf_az_div_mean, 180), 0.1658*-ts_vector_neut(vec_avg(anl4_basicconqfv110_down), vec_avg(anl4_basicconqfv110_numest), 5), filter=True)",6033779,7.6e-05,0.3,1.55,3564770.0,6.3e-05,0.26,1.46
94,OpAZM3R,"add(0.4336*ts_zscore(vec_avg(anl4_adxqfv110_pu), 10), 0.445*-ts_covariance(vec_avg(anl4_basicconafv110_numest), anl4_totassets_flag, 10), filter=True)",5979715,7.7e-05,0.24,1.23,4350813.0,8e-05,0.29,1.45
324,Zpar06Z,"add(0.5717*ts_vector_proj(fscore_surface, snt_buzz, 30), 0.6908*ts_backfill(snt_buzz_bfl, 30), filter=True)",20043401,0.000364,0.85,1.99,6520539.0,0.000168,0.42,1.44
209,27wY6Zx,"add(0.0223*-ts_corr(vec_avg(anl4_fsdtlestmtbscqv104_item), vec_avg(anl4_fsguidanceqfv4_item), 180), 0.7546*min(scl12_buzz, snt_buzz), filter=True)",20838607,0.000447,0.91,1.93,7665653.0,0.000234,0.49,1.44
404,6wjN5YP,"-ts_vector_proj(vec_avg(nws12_mainz_4l), vec_avg(nws12_prez_02l), 60)",86729672,0.003947,1.63,1.16,56763385.0,0.004847,2.24,1.44
370,Wpbx8dd,"regression_proj(vec_avg(anl4_basicconqfv110_down), vec_avg(nws12_afterhsz_vol_ratio))",28096869,0.00035,0.69,1.64,15417391.0,0.000263,0.52,1.43
54,Jp309jW,"add(0.6882*min(scl12_buzz, snt_buzz), 0.1054*-ts_corr(vec_avg(nws12_afterhsz_rangestddev), vec_avg(nws12_mainz_41rta), 180), filter=True)",20741770,0.000447,0.91,1.93,7570678.0,0.000232,0.49,1.43
98,vL1l5wd,"add(0.4505*-ts_corr(anl4_ptp_number, anl4_ptpr_median, 250), 0.953*-ts_corr(vec_avg(nws12_mainz_range), vec_avg(nws12_prez_close_vol), 5), filter=True)",5305483,0.000228,0.52,1.54,2986562.0,0.000182,0.43,1.42
312,9wlwk71,"add(0.9636*-ts_corr(vec_avg(nws12_afterhsz_rangestddev), vec_avg(nws12_mainz_atrratio), 5), 0.226*-ts_corr(vec_avg(anl4_ads1detailqfv110_estvalue), anl4_totassets_high, 10), filter=True)",4818659,0.000192,0.37,1.19,3627282.0,0.000213,0.46,1.42
36,ng6zVY8,"add(0.0258*-ts_corr(anl4_netprofita_mean, anl4_totgw_median, 250), 0.8336*-ts_zscore(vec_avg(anl4_basicconqfv110_down), 5), filter=True)",7177532,9.3e-05,0.35,1.6,4131559.0,7.6e-05,0.28,1.42
386,WpYw0pj,"add(0.4668*-ts_corr(vec_avg(nws12_mainz_eodvwap), vec_avg(nws12_prez_tonhigh), 5), 0.4861*regression_proj(news_eod_close, vec_avg(nws12_mainz_volstddev)), filter=True)",3968554,8.4e-05,0.24,1.17,2940672.0,9.2e-05,0.3,1.42
86,z93mlbR,"add(0.502*ts_backfill(snt_buzz_bfl, 30), 0.4427*-ts_vector_neut(vec_avg(nws12_afterhsz_rangestddev), vec_avg(nws12_prez_curr_vol), 30), filter=True)",20036879,0.00036,0.87,2.06,6388739.0,0.000163,0.41,1.42
314,LpKpE96,"add(0.4757*-ts_av_diff(vwap, 10), 0.4301*-ts_corr(implied_volatility_call_30, implied_volatility_mean_270, 60), filter=True)",12963348,0.00054,0.6,1.16,8032955.0,0.000477,0.69,1.42
203,LpNQogL,"add(0.8862*-regression_neut(anl4_qf_az_eps, news_eps_actual), 0.7447*-ts_vector_neut(news_atr_ratio, vec_avg(nws12_prez_prev_vol), 180), filter=True)",19859974,0.000243,0.62,1.79,10083108.0,0.000172,0.41,1.41
286,g1bb0Xm,"add(0.5727*ts_co_skewness(correlation_last_30_days_spy, open, 5), 0.4929*-ts_vector_proj(news_session_range, vec_avg(nws12_afterhsz_rangeamt), 250), 0.0784*ts_vector_neut(call_breakeven_270, option_breakeven_10, 5), filter=True)",6799685,0.000132,0.28,1.11,3978904.0,0.000104,0.32,1.41
189,ngPxa1z,"add(0.6824*-ts_av_diff(vwap, 10), 0.0465*-regression_proj(anl4_epsa_flag, vec_avg(anl4_fsactualafv4_actual)), filter=True)",11825082,0.000554,0.59,1.12,7391567.0,0.000505,0.71,1.41
493,AwNl5Qd,"add(0.4463*-ts_vector_neut(vec_avg(nws12_afterhsz_maxdnamt), rp_nip_partner, 180), 0.7848*-ts_corr(vec_avg(nws12_afterhsz_atrratio), vec_avg(nws12_mainz_mktcap), 5), 0.5137*-ts_corr(vec_avg(nws12_afterhsz_41rta), vec_avg(nws12_afterhsz_curr_vol), 5), filter=True)",4064082,0.000131,0.37,1.43,2469515.0,0.000117,0.34,1.4
255,vLrZjmr,"add(0.9483*-ts_corr(vec_avg(nws12_afterhsz_peratio), vec_avg(nws12_mainz_prev_vol), 5), 0.4849*-min(vec_avg(nws12_afterhsz_maxupamt), rp_nip_marketing), filter=True)",6442910,0.000175,0.47,1.6,3693409.0,0.000139,0.37,1.4
42,VpMEreJ,"add(0.8136*-ts_covariance(vec_avg(nws12_afterhsz_result1), vec_avg(nws12_prez_eodhigh), 30), 0.7574*-ts_vector_proj(vec_avg(nws12_mainz_3l), vec_avg(nws12_prez_4s), 5), filter=True)",21200555,0.000804,0.81,1.28,15738257.0,0.000857,0.92,1.4
263,EwpmPn1,"add(0.7116*-ts_vector_neut(vec_avg(nws12_afterhsz_highexcstddev), low, 30), 0.6324*-ts_covariance(vec_avg(scl12_alltype_buzzvec), scl12_buzz, 5), 0.9857*-ts_co_skewness(vec_avg(nws12_mainz_41rta), returns, 180), 0.5044*-ts_corr(vec_avg(nws12_mainz_maxdnamt), vec_avg(nws12_mainz_maxup), 10), filter=True)",18039035,0.000835,0.92,1.42,7090597.0,0.000468,0.68,1.4
316,KbgbJQp,"add(0.0896*-ts_vector_neut(vec_avg(nws12_afterhsz_atrratio), vec_avg(nws12_afterhsz_lowexcstddev), 10), 0.2716*-ts_av_diff(vwap, 10), filter=True)",12995672,0.000526,0.58,1.14,8188193.0,0.00047,0.67,1.39
533,vLkrbwr,"-min(vec_avg(nws12_prez_maxdnamt), rp_nip_assets)",10725868,0.000143,0.32,1.21,8089219.0,0.000145,0.37,1.38
524,17xO9k6,"-regression_neut(news_high_exc_stddev, vec_avg(nws12_afterhsz_mktcap))",8884645,0.000119,0.44,1.81,4236157.0,8e-05,0.28,1.38
1,17ZY88J,"regression_proj(vec_avg(nws12_allz_result2), vec_avg(nws12_prez_maxdown))",27042998,0.000373,0.68,1.58,15677533.0,0.00029,0.52,1.37
317,qA7XzKj,"add(0.7662*-ts_corr(news_spy_close, vec_avg(nws12_mainz_rangeamt), 5), 0.4262*-ts_theilsen(anl4_epsr_number, anl4_flag_erbfintax, 180), filter=True)",3871452,0.000149,0.33,1.21,2927355.0,0.00016,0.38,1.36
444,9wja6R2,"-ts_vector_neut(anl4_qf_az_eps, news_eps_actual, 250)",9074050,0.000125,0.3,1.2,6489586.0,0.000127,0.34,1.36
541,bLRVLXm,"-regression_neut(anl4_bvps_high, vec_avg(anl4_fsgdncbscv4_maxguidance))",16706245,0.044182,1.11,0.96,7578733.0,0.032021,1.26,1.36
13,dxbQXAj,#NAME?,3597269,0.000161,0.34,1.21,2286809.0,0.000146,0.37,1.36
141,9wWQa0V,"add(0.7984*-ts_vector_neut(vec_avg(nws12_afterhsz_volstddev), vec_avg(nws12_mainz_atrratio), 180), 0.3022*ts_rank(anl4_qf_az_eps, 30), filter=True)",8498825,0.000155,0.46,1.66,4477768.0,0.000115,0.33,1.36
494,Rpb1Wl1,"-ts_vector_neut(news_atr_ratio, vec_avg(nws12_prez_prev_vol), 180)",19031405,0.000258,0.62,1.73,10179058.0,0.000191,0.42,1.35
367,17Zekgz,"-ts_vector_neut(vec_avg(nws12_afterhsz_volstddev), vec_avg(nws12_mainz_allvwap), 250)",12278054,0.000214,0.48,1.48,7060197.0,0.000151,0.37,1.35
7,xx3Y9wq,#NAME?,7551102,0.000551,0.68,1.3,5014042.0,0.000513,0.68,1.35
234,xx35Znq,"add(0.9644*-ts_vector_proj(vec_avg(anl4_basicconltv110_down), vec_avg(nws12_prez_vol_ratio), 180), 0.8826*ts_covariance(vec_avg(nws12_allz_newssess), vec_avg(nws12_prez_maxdnamt), 5), 0.497*-ts_corr(vec_avg(nws12_mainz_newssess), vec_avg(nws12_prez_eodhigh), 5), 0.0539*ts_corr(news_mins_7_5_pct_up, vec_avg(nws12_afterhsz_01l), 30), filter=True)",4081354,0.000154,0.34,1.23,2983915.0,0.000168,0.39,1.35
217,xx3ZYxw,"add(0.1637*-ts_corr(systematic_risk_last_30_days, vec_avg(nws12_afterhsz_mktcap), 60), 0.8417*-ts_vector_neut(news_max_up_ret, vec_avg(nws12_mainz_newrecord), 60), filter=True)",15827375,0.000248,0.46,1.3,7805340.0,0.000171,0.39,1.35
492,xx3j7bl,"add(0.4975*-regression_neut(vec_avg(nws12_mainz_volstddev), vec_avg(nws12_prez_41rta)), 0.8154*-regression_neut(news_range_stddev, vec_avg(nws12_mainz_mov_vol)), 0.7739*-ts_max_diff(option_breakeven_10, 10), filter=True)",5903630,0.000178,0.32,1.06,3837470.0,0.000155,0.38,1.35
321,oKaVdKk,"add(0.0114*-ts_vector_proj(vec_avg(nws12_mainz_result_vs_index), vec_avg(nws12_prez_vol_ratio), 5), 0.282*ts_delta(vec_avg(nws18_bam), 30), filter=True)",6619324,7.7e-05,0.24,1.24,4565797.0,7.5e-05,0.26,1.34
478,OpNWbPY,"add(0.4329*ts_zscore(implied_volatility_call_90, 10), 0.1889*-ts_corr(beta_last_30_days_spy, correlation_last_90_days_spy, 30), 0.7712*-ts_corr(systematic_risk_last_30_days, vec_avg(nws12_prez_allvwap), 5), filter=True)",4712874,0.00011,0.41,1.75,2347884.0,7.9e-05,0.27,1.34
514,oK6kXk5,"-ts_vector_neut(vec_avg(nws12_afterhsz_volstddev), vec_avg(nws12_mainz_highexcstddev), 30)",6235466,9.5e-05,0.29,1.35,4069667.0,8.5e-05,0.28,1.33
109,07Y8rMp,"add(0.1609*-min(vec_avg(nws12_prez_maxdown), rp_nip_insider), 0.0569*-ts_theilsen(vec_avg(nws12_mainz_allvwap), vec_avg(nws12_mainz_peratio), 30), filter=True)",20686744,0.000568,0.76,1.42,11641596.0,0.00065,0.76,1.33
320,5wJMPMN,"add(0.8535*-ts_vector_proj(anl4_bvps_mean, anl4_netdebt_number, 250), 0.9768*-min(vec_avg(nws12_afterhsz_allticks), vec_avg(nws12_mainz_volstddev)), filter=True)",22798853,0.001619,1.12,1.24,11605549.0,0.001938,1.31,1.33
526,RpV5P0e,"-ts_vector_neut(vec_avg(nws12_afterhsz_highexcstddev), low, 30)",9193731,0.000149,0.5,1.83,4600593.0,0.0001,0.3,1.33
266,AwNQ5GE,"add(0.6446*ts_covariance(vec_avg(nws12_prez_provider), rp_nip_revenue, 180), 0.3588*-ts_covariance(vec_avg(scl12_alltype_buzzvec), scl12_buzz, 5), 0.1587*-ts_covariance(vec_avg(nws18_qmb), rp_css_assets, 180), filter=True)",18709787,0.000938,0.93,1.36,7668295.0,0.000544,0.69,1.32
531,k3VJ72O,"-regression_neut(vec_avg(nws12_afterhsz_volstddev), volume)",14729922,0.0002,0.49,1.54,9333397.0,0.000168,0.38,1.32
369,Ypb9WOl,"ts_av_diff(snt_buzz, 60)",21157323,0.000377,0.8,1.85,7402482.0,0.000186,0.4,1.31
429,oKLoool,"-ts_vector_neut(vec_avg(scl12_alltype_buzzvec), vec_avg(scl12_alltype_sentvec), 30)",13059368,0.000204,0.49,1.52,6312293.0,0.000138,0.34,1.31
178,lVKqqn7,"add(0.8045*ts_vector_neut(vec_avg(anl4_basicconqfv110_pu), parkinson_volatility_10, 10), 0.8093*-ts_corr(vec_avg(nws12_mainz_newssess), vec_avg(nws12_prez_eodhigh), 5), filter=True)",5817110,0.000115,0.28,1.19,4106961.0,0.000115,0.31,1.31
394,roekEVE,"-ts_vector_neut(historical_volatility_30, implied_volatility_call_30, 5)",11126393,0.000247,0.47,1.34,6773867.0,0.000212,0.42,1.3
417,37Gpn8O,"-ts_vector_neut(historical_volatility_150, implied_volatility_call_360, 30)",12044649,0.000386,0.52,1.19,7190183.0,0.000318,0.52,1.3
102,JpepjnA,"add(0.7066*-ts_theilsen(news_session_range_pct, vec_avg(nws12_mainz_open_vol), 30), 0.6646*-ts_covariance(vec_avg(nws12_mainz_spylast), vec_avg(nws12_prez_spylast), 60), filter=True)",16305575,0.001913,1.16,1.19,11129638.0,0.001461,1.11,1.3
389,dx9LAXg,"add(0.3664*-ts_corr(anl4_netdebt_mean, est_shequity, 60), 0.7349*ts_corr(vec_avg(anl4_adxqfv110_high), vec_avg(anl4_dez1basicqfv4v104_est), 60), filter=True)",3323456,0.000813,0.59,1.15,1972905.0,0.000689,0.62,1.3
284,Gwbb5j0,"add(0.8602*-ts_vector_proj(news_mins_4_pct_up, vec_avg(nws12_prez_4l), 60), 0.785*-ts_backfill(vec_avg(anl4_dei3lafv110_item), 30), 0.2808*-ts_vector_neut(news_vol_stddev, vec_avg(nws12_prez_mktcap), 180), filter=True)",18803341,0.000506,0.62,1.23,11503853.0,0.000435,0.61,1.3
235,wRZWKnp,"add(0.441*ts_co_skewness(vec_avg(nws12_mainz_result2), rp_nip_assets, 5), 0.0867*-ts_vector_proj(vec_avg(nws12_afterhsz_02l), vec_avg(nws12_mainz_01s), 10), 0.3568*-ts_vector_proj(unsystematic_risk_last_60_days, news_low_exc_stddev, 250), 0.2829*-ts_co_skewness(rp_css_inverstor, rp_css_product, 30), filter=True)",10964537,0.000227,0.37,1.1,6241413.0,0.000184,0.39,1.29
75,xxv0KbJ,"add(0.8045*ts_vector_neut(implied_volatility_call_270, implied_volatility_put_360, 10), 0.5146*-ts_backfill(returns, 10), filter=True)",10021637,0.000152,0.33,1.21,6798484.0,0.000143,0.35,1.29
93,QavVzaG,"add(0.2696*-ts_covariance(vec_avg(nws12_allz_newssess), rp_nip_assets, 30), 0.4188*-ts_backfill(returns, 10), filter=True)",12308838,0.0002,0.32,1.01,7677431.0,0.000182,0.39,1.29
124,QavJ26p,"-ts_zscore(vec_avg(anl4_basicconqfv110_down), 5)",7564028,9.1e-05,0.32,1.52,4120105.0,7e-05,0.24,1.29
76,5wJ02wJ,"add(0.3316*-ts_vector_neut(historical_volatility_150, implied_volatility_call_1080, 10), 0.3545*ts_vector_neut(correlation_last_360_days_spy, vec_avg(nws12_prez_open_vol), 60), filter=True)",5904224,0.000109,0.25,1.06,3966021.0,0.000105,0.29,1.28
474,vLrA2Vr,"add(0.5612*-ts_corr(vec_avg(nws18_ssc), rp_css_credit_ratings, 60), 0.0583*-min(vec_avg(nws12_allz_provider), rp_nip_technical), 0.957*-ts_vector_proj(news_max_up_amt, vec_avg(nws12_afterhsz_maxupamt), 30), filter=True)",6423439,0.000116,0.22,0.93,3373945.0,8.3e-05,0.26,1.28
330,07PAkwr,"add(0.7377*-ts_vector_neut(vec_avg(nws12_afterhsz_highexcstddev), vec_avg(nws12_prez_dayopen), 60), 0.4366*ts_vector_neut(implied_volatility_mean_skew_720, parkinson_volatility_90, 250), filter=True)",11322696,0.000212,0.54,1.65,5877973.0,0.000156,0.36,1.28
150,ngPMjrE,"add(0.2125*ts_co_skewness(news_mins_4_pct_up, vec_avg(nws12_afterhsz_01l), 180), 0.2974*-ts_corr(vec_avg(nws12_mainz_spylast), rp_nip_assets, 10), filter=True)",7123634,0.000415,0.51,1.12,5020366.0,0.000402,0.57,1.28
273,QabYGdM,"add(0.891*ts_covariance(vec_avg(anl4_basicconqfv110_pu), anl4_totassets_number, 30), 0.9827*-ts_vector_neut(vec_avg(nws12_afterhsz_volstddev), vec_avg(nws12_prez_curr_vol), 30), 0.4778*ts_vector_proj(correlation_last_360_days_spy, news_prev_vol, 5), filter=True)",5631892,0.000125,0.37,1.46,3113008.0,9.9e-05,0.28,1.27
21,VpaGYmY,"ts_rank(vec_avg(anl4_basicconltv110_high), 180)",11821458,0.000156,0.29,1.04,8173671.0,0.000152,0.35,1.27
199,Wpb5ZRd,"add(0.4368*ts_co_skewness(vec_avg(nws12_afterhsz_1s), vec_avg(nws12_afterhsz_2s), 180), 0.7308*-ts_vector_neut(vec_avg(anl4_basicconltv110_down), anl4_netprofit_std, 60), filter=True)",18249893,0.000455,0.42,0.89,9512718.0,0.00032,0.51,1.27
193,GwbZrJP,"add(0.0443*-ts_corr(vec_avg(anl4_adxqfv110_pu), anl4_ebit_value, 10), 0.1425*-ts_vector_proj(news_mins_2_pct_up, news_mins_5_pct_up, 30), filter=True)",27764262,0.000518,0.57,1.13,20771935.0,0.000553,0.67,1.27
459,XpJ623z,"add(0.5128*-ts_backfill(vec_avg(nws12_mainz_result1), 180), 0.6519*ts_vector_proj(anl4_qfd1_az_eps_number, anl4_tbvps_number, 30), 0.8505*-ts_co_skewness(vec_avg(anl4_basicconafv110_pu), vec_avg(nws12_afterhsz_epsactual), 60), filter=True)",7206670,0.000523,0.63,1.24,4112764.0,0.000449,0.6,1.26
79,Awxjzqd,"add(0.3894*-ts_vector_proj(news_mins_3_pct_up, vec_avg(nws12_prez_4l), 250), 0.8244*ts_co_skewness(vec_avg(anl4_basicconqfv110_median), est_grossincome, 30), filter=True)",34210259,0.000793,0.77,1.23,25469113.0,0.000767,0.78,1.26
