,pnl,book_size,long_count,short_count,turnover,returns,drawdown,margin,fitness,sharpe,start_date,alpha_id,expression,concentrated_weight,high_turnover,low_fitness,low_sharpe,low_sub_universe_sharpe,low_turnover,matches_competition
10,4626139,20000000,747,3509,0.7311,0.0447,0.0783,0.000122,0.25,1.0,2012-01-22,z9GnGJE,"williamsR = (high-close)/(high-low) * -100;alpha_condition = volume > 1.5*adv20;alpha_gr = group_rank(alpha_condition, industry);trade_when(williamsR<-80, alpha_gr, williamsR >-20 )",PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
11,4570641,20000000,690,3573,0.6887,0.0441,0.0911,0.000128,0.24,0.94,2012-01-22,VpzbmP0,"williamsR = (high-close)/(high-low) * -100;alpha_condition = volume > 1.5*adv20;alpha_gr = group_rank(alpha_condition, market);trade_when(williamsR<-80, alpha_gr, williamsR >-20 )",PASS,PASS,FAIL,FAIL,PASS,PASS,PASS
12,3485051,20000000,500,3747,0.7717,0.0337,0.1029,8.7e-05,0.13,0.61,2012-01-22,07g2ge8,"williamsR = (high-close)/(high-low) * -100;alpha_condition = volume > 2*adv20;alpha_gr = group_rank(alpha_condition, industry);trade_when(williamsR<-80, alpha_gr, williamsR >-20 )",PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
13,3451335,20000000,940,2996,0.8456,0.0333,0.0801,7.9e-05,0.13,0.66,2012-01-22,z9Gnrvo,"williamsR = (high-close)/(high-low) * -100;alpha_condition = volume > 2*adv20;alpha_gr = group_rank(alpha_condition, subindustry);trade_when(williamsR<-80, alpha_gr, williamsR >-20 )",PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
14,3360748,20000000,332,3929,0.7187,0.0325,0.1238,9e-05,0.12,0.57,2012-01-22,37PvmxX,"williamsR = (high-close)/(high-low) * -100;alpha_condition = volume > 2*adv20;alpha_gr = group_rank(alpha_condition, sector);trade_when(williamsR<-80, alpha_gr, williamsR >-20 )",PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
15,3174936,20000000,321,3942,0.7014,0.0307,0.1348,8.7e-05,0.11,0.53,2012-01-22,7wmRRO1,"williamsR = (high-close)/(high-low) * -100;alpha_condition = volume > 2*adv20;alpha_gr = group_rank(alpha_condition, market);trade_when(williamsR<-80, alpha_gr, williamsR >-20 )",PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
16,-5166525,20000000,2502,1762,0.6753,-0.0499,0.528,-0.000148,-0.35,-1.28,2012-01-22,5w5dAvk,"williamsR = (high-close)/(high-low) * -100;alpha_condition = volume < adv20;alpha_gr = group_rank(alpha_condition, market);trade_when(williamsR<-80, alpha_gr, williamsR >-20 )",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
17,-4973960,20000000,2494,1765,0.6982,-0.048,0.5051,-0.000138,-0.35,-1.33,2012-01-22,eOGZ6wO,"williamsR = (high-close)/(high-low) * -100;alpha_condition = volume < adv20;alpha_gr = group_rank(alpha_condition, industry);trade_when(williamsR<-80, alpha_gr, williamsR >-20 )",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
18,-5196692,20000000,2501,1762,0.6799,-0.0502,0.5283,-0.000148,-0.36,-1.33,2012-01-22,EwzPn21,"williamsR = (high-close)/(high-low) * -100;alpha_condition = volume < adv20;alpha_gr = group_rank(alpha_condition, sector);trade_when(williamsR<-80, alpha_gr, williamsR >-20 )",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
19,-5188423,20000000,2390,1768,0.7478,-0.0501,0.5267,-0.000134,-0.38,-1.45,2012-01-22,Vpzb005,"williamsR = (high-close)/(high-low) * -100;alpha_condition = volume < adv20;alpha_gr = group_rank(alpha_condition, subindustry);trade_when(williamsR<-80, alpha_gr, williamsR >-20 )",PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
20,-5764693,20000000,1741,2518,0.6993,-0.0557,0.5864,-0.000159,-0.4,-1.43,2012-01-22,xxGpGnb,"williamsR = (high-close)/(high-low) * -100;alpha_condition = volume < 0.8*adv20;alpha_gr = group_rank(alpha_condition, industry);trade_when(williamsR<-80, alpha_gr, williamsR >-20 )",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
21,-6320545,20000000,1735,2529,0.6765,-0.061,0.642,-0.00018,-0.43,-1.44,2012-01-22,Gwz55E3,"williamsR = (high-close)/(high-low) * -100;alpha_condition = volume < 0.8*adv20;alpha_gr = group_rank(alpha_condition, market);trade_when(williamsR<-80, alpha_gr, williamsR >-20 )",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
22,-5903936,20000000,1748,2409,0.7486,-0.057,0.6008,-0.000152,-0.43,-1.55,2012-01-22,lVGPMee,"williamsR = (high-close)/(high-low) * -100;alpha_condition = volume < 0.8*adv20;alpha_gr = group_rank(alpha_condition, subindustry);trade_when(williamsR<-80, alpha_gr, williamsR >-20 )",PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
23,-6163739,20000000,1735,2528,0.6811,-0.0595,0.6265,-0.000175,-0.44,-1.48,2012-01-22,Rpzwxad,"williamsR = (high-close)/(high-low) * -100;alpha_condition = volume < 0.8*adv20;alpha_gr = group_rank(alpha_condition, sector);trade_when(williamsR<-80, alpha_gr, williamsR >-20 )",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
24,-7884578,20000000,1022,3009,0.7966,-0.0761,0.7956,-0.000191,-0.5,-1.62,2012-01-22,ngq5AJa,"williamsR = (high-close)/(high-low) * -100;alpha_condition = volume < 0.5*adv20;alpha_gr = group_rank(alpha_condition, subindustry);trade_when(williamsR<-80, alpha_gr, williamsR >-20 )",PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
25,-8404738,20000000,737,3514,0.7407,-0.0812,0.8447,-0.000219,-0.53,-1.61,2012-01-22,bLz1zLM,"williamsR = (high-close)/(high-low) * -100;alpha_condition = volume < 0.5*adv20;alpha_gr = group_rank(alpha_condition, industry);trade_when(williamsR<-80, alpha_gr, williamsR >-20 )",PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
26,-9018804,20000000,629,3633,0.7127,-0.0871,0.9045,-0.000244,-0.58,-1.65,2012-01-22,PpzmVAW,"williamsR = (high-close)/(high-low) * -100;alpha_condition = volume < 0.5*adv20;alpha_gr = group_rank(alpha_condition, sector);trade_when(williamsR<-80, alpha_gr, williamsR >-20 )",PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
27,-9505225,20000000,605,3658,0.7051,-0.0918,0.9521,-0.00026,-0.6,-1.66,2012-01-22,5w5dd76,"williamsR = (high-close)/(high-low) * -100;alpha_condition = volume < 0.5*adv20;alpha_gr = group_rank(alpha_condition, market);trade_when(williamsR<-80, alpha_gr, williamsR >-20 )",PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
