,pnl,book_size,long_count,short_count,turnover,returns,drawdown,margin,fitness,sharpe,start_date,alpha_id,expression,concentrated_weight,high_turnover,low_fitness,low_sharpe,low_sub_universe_sharpe,low_turnover,matches_competition
0,5189081,20000000,1767,2390,0.7478,0.0501,0.049,0.000134,0.38,1.45,2012-01-22,LpzYZZ6,"williamsR = (high-close)/(high-low) * -100;alpha_condition = volume > adv20;alpha_gr = group_rank(alpha_condition, subindustry);trade_when(williamsR<-80, alpha_gr, williamsR >-20 )",PASS,FAIL,FAIL,PASS,PASS,PASS,PASS
1,5194790,20000000,1761,2500,0.68,0.0502,0.059,0.000148,0.36,1.33,2012-01-22,5w5dKYk,"williamsR = (high-close)/(high-low) * -100;alpha_condition = volume > adv20;alpha_gr = group_rank(alpha_condition, sector);trade_when(williamsR<-80, alpha_gr, williamsR >-20 )",PASS,PASS,FAIL,PASS,PASS,PASS,PASS
2,5113865,20000000,1309,2823,0.7636,0.0494,0.0553,0.000129,0.35,1.37,2012-01-22,OpzX8JJ,"williamsR = (high-close)/(high-low) * -100;alpha_condition = volume > 1.2*adv20;alpha_gr = group_rank(alpha_condition, subindustry);trade_when(williamsR<-80, alpha_gr, williamsR >-20 )",PASS,FAIL,FAIL,PASS,PASS,PASS,PASS
3,4975291,20000000,1765,2494,0.6982,0.048,0.0546,0.000138,0.35,1.33,2012-01-22,RpzwAQj,"williamsR = (high-close)/(high-low) * -100;alpha_condition = volume > adv20;alpha_gr = group_rank(alpha_condition, industry);trade_when(williamsR<-80, alpha_gr, williamsR >-20 )",PASS,PASS,FAIL,PASS,PASS,PASS,PASS
4,5164392,20000000,1761,2502,0.6753,0.0499,0.0625,0.000148,0.35,1.28,2012-01-22,XpzAzn5,"williamsR = (high-close)/(high-low) * -100;alpha_condition = volume > adv20;alpha_gr = group_rank(alpha_condition, market);trade_when(williamsR<-80, alpha_gr, williamsR >-20 )",PASS,PASS,FAIL,PASS,PASS,PASS,PASS
5,4744728,20000000,1215,3044,0.7085,0.0458,0.062,0.000129,0.31,1.2,2012-01-22,07g2gK8,"williamsR = (high-close)/(high-low) * -100;alpha_condition = volume > 1.2*adv20;alpha_gr = group_rank(alpha_condition, industry);trade_when(williamsR<-80, alpha_gr, williamsR >-20 )",PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
6,4888344,20000000,1198,3063,0.6857,0.0472,0.0678,0.000138,0.31,1.19,2012-01-22,KbzMA2g,"williamsR = (high-close)/(high-low) * -100;alpha_condition = volume > 1.2*adv20;alpha_gr = group_rank(alpha_condition, sector);trade_when(williamsR<-80, alpha_gr, williamsR >-20 )",PASS,PASS,FAIL,FAIL,PASS,PASS,PASS
7,4774865,20000000,1197,3066,0.6801,0.0461,0.074,0.000136,0.29,1.13,2012-01-22,OpzXMpp,"williamsR = (high-close)/(high-low) * -100;alpha_condition = volume > 1.2*adv20;alpha_gr = group_rank(alpha_condition, market);trade_when(williamsR<-80, alpha_gr, williamsR >-20 )",PASS,PASS,FAIL,FAIL,PASS,PASS,PASS
8,4897009,20000000,987,3089,0.7953,0.0473,0.0648,0.000119,0.28,1.14,2012-01-22,xxGpbJw,"williamsR = (high-close)/(high-low) * -100;alpha_condition = volume > 1.5*adv20;alpha_gr = group_rank(alpha_condition, subindustry);trade_when(williamsR<-80, alpha_gr, williamsR >-20 )",PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
9,4661852,20000000,693,3568,0.6979,0.045,0.0884,0.000129,0.25,0.98,2012-01-22,6w0L63G,"williamsR = (high-close)/(high-low) * -100;alpha_condition = volume > 1.5*adv20;alpha_gr = group_rank(alpha_condition, sector);trade_when(williamsR<-80, alpha_gr, williamsR >-20 )",PASS,PASS,FAIL,FAIL,PASS,PASS,PASS
