pnl,book_size,long_count,short_count,turnover,returns,drawdown,margin,fitness,sharpe,start_date,alpha_id,expression,concentrated_weight,high_turnover,low_2y_sharpe,low_fitness,low_sharpe,low_sub_universe_sharpe,low_turnover
9374427,20000000,3645,3289,0.1359,0.0905,0.0507,0.001333,2.25,2.76,2012-01-22,RpPm28b,"signal1 = mdl110_score ; signal2 = mdl110_price_momentum_reversal ; k = ts_corr(mdl110_score, mdl110_price_momentum_reversal, 30) ; k*regression_neut(mdl110_score, mdl110_price_momentum_reversal)",PASS,PASS,PASS,PASS,PASS,FAIL,PASS
7985912,20000000,3454,3385,0.1284,0.0771,0.0684,0.001201,1.91,2.47,2012-01-22,VpeG2a0,"signal1 = mdl110_score ; signal2 = mdl110_analyst_sentiment ; k = ts_corr(mdl110_score, mdl110_analyst_sentiment, 30) ; k*regression_neut(mdl110_score, mdl110_analyst_sentiment)",PASS,PASS,FAIL,PASS,PASS,PASS,PASS
4683703,20000000,3625,3310,0.1726,0.0452,0.0425,0.000524,0.92,1.79,2012-01-22,xx5NPbn,"signal1 = mdl110_score ; signal2 = mdl110_alternative ; k = ts_corr(mdl110_score, mdl110_alternative, 30) ; k*regression_neut(mdl110_score, mdl110_alternative)",PASS,PASS,FAIL,FAIL,PASS,PASS,PASS
3539063,20000000,3504,3409,0.1725,0.0342,0.0492,0.000396,0.61,1.38,2012-01-22,p63NV5q,"signal1 = mdl110_score ; signal2 = mdl110_value ; k = ts_corr(mdl110_score, mdl110_value, 30) ; k*regression_neut(mdl110_score, mdl110_value)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
3733421,20000000,3492,3522,0.173,0.0361,0.062,0.000417,0.54,1.18,2012-01-22,vLPNrwa,"signal1 = mdl110_score ; signal2 = mdl110_tree ; k = ts_corr(mdl110_score, mdl110_tree, 30) ; k*regression_neut(mdl110_score, mdl110_tree)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
2998253,20000000,3487,3432,0.1735,0.029,0.0724,0.000334,0.54,1.32,2012-01-22,Gw9GMeG,"signal1 = mdl110_score ; signal2 = mdl110_quality ; k = ts_corr(mdl110_score, mdl110_quality, 30) ; k*regression_neut(mdl110_score, mdl110_quality)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
2850075,20000000,3487,3366,0.1765,0.0275,0.0555,0.000312,0.47,1.2,2012-01-22,6wNpaeO,"signal1 = mdl110_score ; signal2 = mdl110_growth ; k = ts_corr(mdl110_score, mdl110_growth, 30) ; k*regression_neut(mdl110_score, mdl110_growth)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
2297377,20000000,3491,3462,0.1192,0.0222,0.0362,0.000372,0.4,0.96,2012-01-22,lV1WYZn,"signal1 = mdl110_growth ; signal2 = mdl110_value ; k = ts_corr(mdl110_growth, mdl110_value, 30) ; k*regression_neut(mdl110_growth, mdl110_value)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
2092192,20000000,3385,3471,0.1432,0.0202,0.0557,0.000282,0.33,0.89,2012-01-22,wRWaAXp,"signal1 = mdl110_growth ; signal2 = mdl110_score ; k = ts_corr(mdl110_growth, mdl110_score, 30) ; k*regression_neut(mdl110_growth, mdl110_score)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
2112298,20000000,3479,3360,0.1457,0.0204,0.0496,0.00028,0.31,0.84,2012-01-22,adGE3r2,"signal1 = mdl110_analyst_sentiment ; signal2 = mdl110_score ; k = ts_corr(mdl110_analyst_sentiment, mdl110_score, 30) ; k*regression_neut(mdl110_analyst_sentiment, mdl110_score)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS
1535501,20000000,3513,3446,0.2045,0.0148,0.0787,0.000145,0.16,0.58,2012-01-22,XpMoJmm,"signal1 = mdl110_price_momentum_reversal ; signal2 = mdl110_growth ; k = ts_corr(mdl110_price_momentum_reversal, mdl110_growth, 30) ; k*regression_neut(mdl110_price_momentum_reversal, mdl110_growth)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS
